,0,1
409,thats,"{'word': 'thats', 'count': 95, 'pages': {7, 137, 139, 21, 279, 153, 31, 32, 288, 289, 168, 170, 171, 44, 300, 301, 59, 60, 189, 66, 204, 89, 95, 98, 104, 107, 237, 119, 123}, 'contexts': ['loves franz joseph thats where the money ', 'firenze roma napoli thats enough tell me ', 'all night yes thats nothing here now ', 'think there was thats awfully nice do ', 'no i said thats a relief isnt ', 'yes she said thats the end of ', 'hes very good thats splendid you rarely ', 'miss barkley oh thats different you mustnt ', 'you love me thats over for the ', 'very good boy thats what the priest ', 'you love me thats all over for ', 'to wear him thats what its for ', 'take the cars thats what i wanted ', 'line of duty thats what keeps you ', 'that sting good thats nothing to how ', 'it is painful thats all i know ', 'save you trouble thats the only difference ', 'but he said thats all right its ', 'call me father thats politeness he smiled ', 'the nurse laughed thats mrs walker she ', 'supper right away thats all right i ', 'to this side thats fine ill clean ', 'up she said thats fine can i ', 'we both looked thats your right leg ', 'little further doctor thats enough thats as ', 'doctor thats enough thats as far as ', 'plates yes yes thats it you look ', 'like she is thats fine thats all ', 'is thats fine thats all right what ', 'very much miss thats all thats all ', 'miss thats all thats all i want ', 'she kissed me thats all right for ', 'her name walker thats it theyve too ', 'i wont talk thats true often people ', 'lying to me thats what i want ', 'with any one thats right were they ', 'youre just mine thats true and youve ', 'the doctor and thats it catherine said ', 'fight or die thats what people do ', 'a hundred lire thats all right tenente ', 'said believe me thats a tough little ', 'is throw benches thats all they know ', 'fred said ettore thats pretty fine youre ', 'and crown above thats me good luck ', 'the better restaurants thats just the rank ', 'any difference no thats good because im ', 'dead in it thats more likely no ', 'two hundred lire thats nothing that doesnt ', 'me how much thats all right he ', 'and the leave thats lovely she said ', 'to stay here thats silly you pick ', 'worry about you thats it thats what ', 'you thats it thats what you mustnt ', 'the brave yes thats how they keep ', 'some time but thats how we differ ', 'think i operate thats right but now ', 'said havent i thats why they call ', 'your stomachs sake thats saint paul you ', 'its dead austrian thats what youre eating ', 'myself i said thats why i never ', 'of a trip thats what i mean ', 'off bonello said thats old fish-faces bed ', 'well drink champagne thats where the slackers ', 'piani said sleepily thats treason tenente bonello ', 'bonello then aymo thats the best way ', 'something in dialect thats all right bartolomeo ', 'right bartolomeo said thats all right both ', 'too and apples thats a good breakfast ', 'jug of wine thats too big i ', 'him never mind thats one thing i ', 'here bonello said thats pretty good tenente ', 'tenente aymo said thats pretty good i ', 'yes piani said thats why i think ', 'be an architect thats no place for ', 'can sing though thats the strange part ', 'italian uniform now thats just another example ', 'i go away thats true im sorry ', 'im not here thats the way i ', 'us catherine said thats nothing lady the ', 'youll get drowned thats good go with ', 'its awful dirty thats all right ill ', 'eight miles more thats a long way ', 'you i said thats easy catherine said ', 'all the time thats splendid i said ', 'frightens me maybe thats where were going ', 'the golden gate thats what i want ', 'down the road thats no worse for ', 'will teach you thats fine when does ', 'you to stay thats what im going ', 'them to you thats a pretty picture ', 'good i said thats what i want ', 'go to lausanne thats where the hospital ', 'them i know thats what ill do ', 'noon i said thats true he said ', 'true he said thats true you ate '], 'chapters': {2, 4, 6, 8, 9, 10, 14, 15, 16, 17, 19, 21, 23, 25, 27, 29, 33, 37, 38}}"
410,money,"{'word': 'money', 'count': 32, 'pages': {128, 129, 7, 263, 264, 145, 276, 279, 284, 158, 31, 51, 70, 203, 76, 82, 224, 225, 112}, 'contexts': ['thats where the money comes from i ', 'have you any money yes loan me ', 'were playing for money or playing for ', 'also they make money out of it ', 'to lend me money no blood brother ', 'not education or money it is something ', 'had education or money men like passini ', 'i will borrow money from george to ', 'her there is money in my pocket ', 'took out the money the two stretcher-bearers ', 'was short of money and george loaned ', 'the lady need money ive always got ', 'ive always got money after dinner we ', 'a lot of money on him no ', 'less than even money on a ten-lira ', 'i gave them money for platform tickets ', 'pocket-book with my money and papers in ', 'they held the money tightly and started ', 'might take the money back i watched ', 'papers and my money all wet in ', 'pocket with my money my money was ', 'my money my money was wet but ', 'dont want any money what can we ', 'said how much money have you not ', 'send me the money later that will ', 'you leave the money for the hotel ', 'up how much money have you twenty-five ', 'had passports and money i do not ', 'would spend the money so they gave ', 'have no swiss money yet i said ', 'had saved their money to buy this ', 'are we for money we have plenty '], 'chapters': {2, 35, 36, 37, 6, 9, 11, 12, 13, 18, 20, 22, 24, 29, 30}}"
411,comes,"{'word': 'comes', 'count': 20, 'pages': {258, 7, 264, 137, 106, 138, 142, 274, 84}, 'contexts': ['where the money comes from i am ', 'until the doctor comes is miss barkley ', 'well see what comes out she went ', 'it until he comes absolutely not you ', 'throw up nothing comes but bile and ', 'when some one comes into a room ', 'them if anything comes between us were ', 'the best kümmel comes in those bearshaped ', 'bearshaped bottles it comes from russia those ', 'here here one comes she said the ', 'unless the priest comes if he knew ', 'feeling my own comes only at night ', 'three days it comes straight down from ', 'very happily here comes the coffee she ', 'customers here he comes i said the ', 'when the baby comes did you ask ', 'said there one comes catherine said quickly ', 'away there it comes give it to ', 'die there it comes give it to ', 'stop there it comes oh oh oh '], 'chapters': {2, 35, 36, 37, 13, 16, 21, 22}}"
412,atheist,"{'word': 'atheist', 'count': 1, 'pages': set(), 'contexts': ['i am an atheist did you ever '], 'chapters': set()}"
413,ever,"{'word': 'ever', 'count': 47, 'pages': {256, 258, 7, 138, 140, 269, 15, 143, 19, 152, 153, 26, 287, 161, 292, 293, 175, 181, 311, 313, 195, 71, 72, 205, 211, 91, 220, 96, 103, 237, 239, 115, 245, 254}, 'contexts': ['atheist did you ever read the black ', 'stations do they ever shell that battery ', 'see have you ever loved any one ', 'time i had ever heard her laugh ', 'and slower than ever then the stragglers ', 'better now than ever it is one ', 'face have they ever been able to ', 'said if i ever get it i ', 'always love god ever since i was ', 'than i had ever felt she asked ', 'doctor did you ever stay in bed ', 'people have you ever loved nobody not ', 'but you wont ever leave me for ', 'darling i wont ever leave you for ', 'too brave nothing ever happens to the ', 'dizzy didnt you ever drink brandy no ', 'not have you ever had jaundice miss ', 'said did you ever know a man ', 'if you had ever known a man ', 'few women have ever experienced that was ', 'if you had ever had the jaundice ', 'girl no one ever understood it except ', 'anything didnt you ever at all a ', 'gout you wont ever have to meet ', 'yes did you ever get the decorations ', 'the same as ever small and brown ', 'thing no one ever stopped when they ', 'on nothing will ever happen i dont ', 'gino have you ever been there not ', 'food have you ever noticed the difference ', 'country if we ever hoped to reach ', 'imola havent you ever been there no ', 'any one i ever knew i had ', 'victory have you ever been in a ', 'how did you ever live there i ', 'pieces did you ever get the tobacco ', 'it if i ever get it straight ', 'hes younger than ever he drank three ', 'language i hardly ever see americans you ', 'us if you ever live to be ', 'and if you ever become devout pray ', 'tin pail youre ever so welcome catherine ', 'only time i ever felt badly was ', 'havent did you ever have anything like ', 'you i wont ever go away i ', 'you think ill ever have this baby ', 'she was hardly ever sick she was '], 'chapters': {2, 4, 5, 11, 14, 15, 16, 18, 21, 22, 23, 24, 25, 27, 28, 29, 30, 33, 34, 35, 36, 37, 38, 40, 41}}"
414,read,"{'word': 'read', 'count': 41, 'pages': {134, 7, 8, 135, 140, 154, 285, 301, 304, 182, 313, 322, 69, 82, 84, 86, 221, 233, 238, 116, 245, 248, 121, 126}, 'contexts': ['did you ever read the black pig ', 'candle-light dont you read it he said ', 'we think we read we are not ', 'papers i could read the headlines by ', 'great happiness to read them where did ', 'said i cant read italian i cant ', 'thermometer out she read it and then ', 'in bed and read the papers awhile ', 'a drink and read the papers i ', 'the window and read the magazines they ', 'but you cant read and write well ', 'his room and read the past performances ', 'these races but read the racing paper ', 'the front i read it over carefully ', 'for supper and read my letters and ', 'up in bed read boston papers from ', 'all i could read and i did ', 'it impossible to read with interest it ', 'timely but i read at it for ', 'said perhaps youll read the papers until ', 'day do they read your letters they ', 'letters they cant read english enough to ', 'through and had read them on proclamations ', 'cried when they read the sentence from ', 'big retreat i read the papers what ', 'i did not read it because i ', 'not want to read about the war ', 'want even to read about it i ', 'dont want to read about it i ', 'the bar and read the papers there ', 'of them and read until the barman ', 'but you should read what is there ', 'munich beer and read the papers i ', 'the papers i read the corriere della ', 'beer taste and read about disaster i ', 'the bed and read the papers i ', 'and soda and read while catherine unpacked ', 'the people and read the paper and ', 'lunch and i read it it was ', 'light on to read after a while ', 'at all but read the paper of '], 'chapters': {32, 33, 2, 34, 37, 38, 39, 41, 11, 13, 18, 19, 21, 23, 27, 30}}"
415,pig,"{'word': 'pig', 'count': 1, 'pages': set(), 'contexts': ['read the black pig asked the lieutenant '], 'chapters': set()}"
416,lieutenant,"{'word': 'lieutenant', 'count': 21, 'pages': {192, 34, 8, 9, 11, 140, 275, 276}, 'contexts': ['pig asked the lieutenant i will get ', 'valuable said the lieutenant it tells you ', 'you said the lieutenant all thinking men ', 'free masons the lieutenant said it is ', 'amalfi said the lieutenant i will write ', 'you things the lieutenant said when you ', 'shared with the lieutenant rinaldi looked out ', 'the trunk the lieutenant rinaldi lay asleep ', 'let me the lieutenant said i slipped ', 'be right here lieutenant he said so ', 'at the bump lieutenant he shouted nothing ', 'what about eating lieutenant we wont get ', 'you been a lieutenant going on three ', 'will be a lieutenant commander maybe hell ', 'i said the lieutenant is an american ', 'custom house a lieutenant very thin and ', 'you are the lieutenant said he went ', 'said the thin lieutenant came down the ', 'hundred lire the lieutenant was pleased his ', 'carriage hi the lieutenant called to the ', 'said to the lieutenant he waved his '], 'chapters': {2, 3, 37, 7, 21, 27}}"
417,get,"{'word': 'get', 'count': 266, 'pages': {7, 8, 12, 13, 17, 25, 26, 29, 34, 35, 38, 40, 47, 48, 49, 51, 52, 55, 56, 60, 61, 63, 64, 65, 66, 67, 69, 71, 72, 73, 75, 76, 77, 83, 84, 86, 89, 92, 97, 98, 99, 101, 102, 107, 108, 111, 114, 116, 117, 118, 119, 120, 122, 125, 128, 129, 130, 133, 138, 141, 144, 145, 147, 148, 149, 150, 151, 152, 155, 157, 158, 161, 162, 163, 164, 165, 167, 168, 169, 172, 179, 180, 181, 184, 186, 188, 189, 194, 195, 196, 200, 201, 202, 203, 204, 205, 206, 209, 211, 213, 214, 215, 216, 217, 218, 223, 226, 227, 228, 229, 234, 235, 237, 239, 240, 241, 243, 245, 246, 247, 250, 252, 260, 261, 262, 263, 264, 268, 270, 273, 274, 275, 279, 280, 286, 287, 288, 289, 291, 297, 302, 303, 306, 307, 308, 310, 312, 313, 314, 316, 319, 321, 322, 323, 324}, 'contexts': ['lieutenant i will get you a copy ', 'said i will get it for you ', 'i have to get washed and report ', 'and glad to get out on the ', 'as they could get and keep covered ', 'wait till i get cleaned up wash ', 'she said you get along very well ', 'sorry we do get along yes i ', 'just beginning to get some of them ', 'soon as i get the papers on ', 'so it would get bad and i ', 'theyll make me get operated on and ', 'i said you get out and fall ', 'the road and get a bump on ', 'then we would get in the elevator ', 'coffee nonsense ill get some baby you ', 'lieutenant we wont get a chance to ', 'could come and get their stew he ', 'drivers i would get them as soon ', 'who would not get out some troops ', 'believe we should get the war over ', 'italy they will get tired and go ', 'come outside and get him the two ', 'off their coats get out of here ', 'i tried to get closer to passini ', 'god i said get me out of ', 'on something serious get some more of ', 'be able to get the stretcher out ', 'they want to get you the medaglia ', 'perhaps they can get only the bronze ', 'act you can get the silver otherwise ', 'think we can get you the silver ', 'positive you will get the silver go ', 'maybe you will get an english medal ', 'drink orderly go get a corkscrew oh ', 'english and hell get you an english ', 'weather dont you get excited sometimes i ', 'why do you get yourself wounded you ', 'like it dont get angry im not ', 'under the bed get well soon he ', 'where did you get them i sent ', 'and when they get organized their leaders ', 'if i ever get it i will ', 'hoped he would get back to the ', 'they wanted to get us all out ', 'major we will get nice and savoia ', 'french we will get corsica and all ', 'why dont i get wounded maybe you ', 'he could only get grappa i told ', 'told him to get it and when ', 'sleep down stairs get somebody the porter ', 'been able to get the doctor hes ', 'when will they get here i dont ', 'why dont they get another doctor hush ', 'in italian to get me a bottle ', 'and watched it get dark outside over ', 'sooner i could get out from under ', 'i tried to get a good look ', 'am an italian get the hell out ', 'ho i said get out of here ', 'when does he get here hell be ', 'papers he could get before he came ', 'a hurry to get back to the ', 'miss barkley will get the bottle cheery ', 'good-by until to-morrow get a good sleep ', 'how would i get into the chair ', 'she said is get you ready for ', 'to do to get me ready for ', 'im silly i get furious if they ', 'go yet but get well quickly darling ', 'go on ill get well i said ', 'us because people get very blabby under ', 'once youll never get married we will ', 'out you dont get her in trouble ', 'in trouble you get her in trouble ', 'you i wont get her in trouble ', 'then and dont get her into trouble ', 'when i could get around on crutches ', 'leave you couldnt get to scotland and ', 'but wanted to get home to the ', 'was anxious to get back home to ', 'a year to get any great amount ', 'i have to get back i said ', 'wouldnt let you get by the first ', 'youre going to get the silver medal ', 'you going to get i dont know ', 'im going to get it youre going ', 'youre going to get it oh boy ', 'boy when you get three youve got ', 'something you only get one for a ', 'does a captain get mac i dont ', 'dollars you better get in the american ', 'if you cant get me in all ', 'youre going to get the silver medal ', 'dont know ill get it youll get ', 'get it youll get it all right ', 'were going to get it all right ', 'want you to get scotch and crazy ', 'then we wont get three thousand lire ', 'crooked racing well get two hundred lire ', 'were going to get three thousand its ', 'go down and get a drink and ', 'the horses ill get them i said ', 'something complicated and get royally cooked i ', 'i had to get back to the ', 'as it would get for a long ', 'us they wont get us i said ', 'so easy to get to from milan ', 'might try and get me court-martialled shes ', 'came in to get a seat the ', 'how did you get it back from ', 'you could always get shells now were ', 'bridge we can get a cab up ', 'a night-gown well get one i said ', 'game i could get a pheasant or ', 'hotel we could get in i said ', 'feel hungry i get terribly hungry youre ', 'i should not get out without paying ', 'the waiter to get us a carriage ', 'for me to get in out of ', 'had the seat get my things i ', 'maybe some will get off at brescia ', 'said more will get on at brescia ', 'did you ever get the decorations yes ', 'ribbons did you get the boxes with ', 'i hope we get some of them ', 'all well never get any down here ', 'and worse go get cleaned up and ', 'too tired to get up and open ', 'they ought to get complete articulation its ', 'too tired to get them out dont ', 'on well both get drunk and be ', 'then well go get the ashes dragged ', 'and i cant get drunk oh baby ', 'dont want to get drunk but well ', 'me i will get you drunk and ', 'floor again youll get over that no ', 'my work youll get other things no ', 'no we never get anything we are ', 'learn we never get anything new we ', 'baby i will get an english girl ', 'ready ill go get the bottle rinaldi ', 'they try to get rid of me ', 'they try to get rid of me ', 'said youll never get it baby will ', 'it baby will get it its an ', 'be glad to get a full meal ', 'one had to get down off the ', 'in the line get pretty good food ', 'in support dont get so much something ', 'will go but get the orders straight ', 'up and then get some sleep yes ', 'its all right get me a monkey ', 'in the kitchen get to sleep i ', 'down youd better get some sleep i ', 'i said you get too funny with ', 'i said ill get you some cold ', 'to have to get off that main ', 'we hoped to get through no one ', 'come over and get to work on ', 'that we might get out of a ', 'go one said get busy i said ', 'weve got to get the brush quickly ', 'tenente you cant get a straight pull ', 'bonello went to get them i cut ', 'virgins they can get in the back ', 'on i said get in the two ', 'if we could get across there was ', 'we could not get across it was ', 'a road to get them out he ', 'how did you get to be socialists ', 'be able to get across there the ', 'better hurry and get across before they ', 'do was to get to pordenone with ', 'do now was get to pordenone i ', 'could not even get to udine the ', 'calm and not get shot or captured ', 'aymo said well get killed up there ', 'think we can get through aymo asked ', 'if we could get south wed be ', 'as we can get and then go ', 'north we could get out of either ', 'afraid we would get killed i held ', 'i watched it get dark outside the ', 'he wanted to get past them tenente ', 'people will all get across the river ', 'would want to get back to his ', 'all trying to get across as soon ', 'i had to get to mestre some ', 'sure i could get aboard it after ', 'would have to get out before they ', 'knew i would get crazy if i ', 'police did not get them anger was ', 'bloody train would get to mestre and ', 'papers i can get what you wish ', 'see him you get up awfully early ', 'passport you wont get far without a ', 'my passport then get dressed my dear ', 'did you ever get the tobacco i ', 'yes didnt you get my card i ', 'been able to get the tobacco it ', 'never came ill get some somewhere i ', 'mess fergy i get in my own ', 'why dont you get married you havent ', 'reasonable i say get out right away ', 'if i ever get it straight in ', 'stay here well get out of the ', 'of that well get out darling you ', 'fine girl lets get back into bed ', 'dont care ill get you some place ', 'nets should we get a drink all ', 'will you do get out of the ', 'she no ill get rid of her ', 'about our bags get them packed get ', 'get them packed get your lady dressed ', 'you like to get dressed right away ', 'hurry darling and get dressed so we ', 'so i dont get in trouble myself ', 'it doubtfully ill get you an umbrella ', 'said you will get wet sir and ', 'much if you get through send me ', 'that if you get through all right ', 'lady she better get in the boat ', 'chance if you get through you pay ', 'dont think youll get drowned thats good ', 'me if you get drowned what does ', 'the waves ill get you a drink ', 'i wanted to get into the swiss ', 'place we can get breakfast isnt the ', 'the quay to get our bags a ', 'row when i get a chance why ', 'said you can get a carriage and ', 'right now well get a good sleep ', 'be upset well get a good sleep ', 'to morrow i get pretty groggy i ', 'we ought to get married catherine said ', 'coming early lets get married now i ', 'you ought to get married no i ', 'we can we get the m.o.b theres ', 'after five lets get that all right ', 'to ski well get a bobsled and ', 'you ought to get away so you ', 'family try and get hold of you ', 'go together and get it cut or ', 'i have to get darling she said ', 'maybe we can get some of our ', 'soda i would get a bottle of ', 'please undress and get into bed here ', 'go out and get something to eat ', 'go out and get something to eat ', 'please go and get some breakfast darling ', 'where can i get breakfast i asked ', 'its wonderful well get some for the ', 'glad dont you get in that place ', 'and watched it get dark outside i ', 'away with anything get away hell it ', 'after it and get fond of it ', 'an hour to get things ready and ', 'ready and to get the people i ', 'it doesnt work get another cylinder i ', 'you but i get so tired of ', 'outside go and get something to eat ', 'the ants could get off onto the ', 'i had to get back i called ', 'want me to get a priest or ', 'cat can i get you anything catherine '], 'chapters': {2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41}}"
418,copy,"{'word': 'copy', 'count': 3, 'pages': {17, 283}, 'contexts': ['get you a copy it was that ', 'bed with a copy of hugos english ', 'town and a copy of hoyle and '], 'chapters': {4, 37}}"
419,faith,"{'word': 'faith', 'count': 3, 'pages': {172}, 'contexts': ['which shook my faith it is a ', 'you have touching faith she said the ', 'we put our faith in mercury or '], 'chapters': {25}}"
420,filthy,"{'word': 'filthy', 'count': 2, 'pages': {237, 7}, 'contexts': ['it is a filthy and vile book ', 'you its a filthy place how did '], 'chapters': {33, 2}}"
421,vile,"{'word': 'vile', 'count': 1, 'pages': {7}, 'contexts': ['a filthy and vile book said the '], 'chapters': {2}}"
422,really,"{'word': 'really', 'count': 75, 'pages': {128, 131, 7, 135, 136, 138, 11, 139, 13, 14, 273, 18, 278, 279, 152, 25, 280, 286, 45, 179, 180, 181, 313, 66, 194, 70, 72, 76, 205, 87, 91, 96, 101, 237, 240, 113, 114, 125, 255}, 'contexts': ['you do not really like it it ', 'enough tell me really what was the ', 'that i had really wanted to go ', 'that i had really wanted to go ', 'army its not really the army its ', 'said theres not really any war of ', 'miss ferguson not really never we do ', 'hospital it was really very large and ', 'barkley said id really rather i must ', 'when there is really work they trust ', 'go he does really said rinaldi he ', 'not drunk rinin really youd better chew ', 'tell if you really saw those were ', 'english girl and really you are just ', 'are you are really an italian all ', 'the girl will really like it dont ', 'i must go really youre a good ', 'different though but really i am like ', 'i am not really you are not ', 'worried that he really did no dont ', 'women if i really loved some woman ', 'i must go really he said you ', 'it they dont really want it i ', 'you go to-morrow really federico he goes ', 'once it was really light i went ', 'come she said really yes i dont ', 'believe she was really there and held ', 'love me i really love you im ', 'about you you really love me dont ', 'go now darling really come back right ', 'knee do you really think yourself i ', 'doorway what well really do she said ', 'up you dont really love me or ', 'how many others really none how many ', 'you never did really no not really ', 'really no not really tell me the ', 'before it is really daylight she had ', 'wanted to be really married but catherine ', 'to be married really because i worried ', 'not being married really i know one ', 'marry now were really married i couldnt ', 'dreadful dreadful boy really he said this ', 'is youre not really afraid of the ', 'off he was really a lovely horse ', 'bet on japalac really hes thirty-five to ', 'said yes its really a pretty course ', 'wondered if america really got into the ', 'is no nothing really nothing i know ', 'was gone we really are the same ', 'good i dont really want one take ', 'red plush is really fine its just ', 'morning but its really a splendid room ', 'could do something really sinful catherine said ', 'to go darling really all right you ', 'how are you really im all right ', 'said where it really had been hell ', 'but when something really started every one ', 'has the food really been short i ', 'right are you really there of course ', 'said are you really anarchists i asked ', 'yodelling yet i really can sing though ', 'people isnt there really any one at ', 'that it was really over i had ', 'tired im not really tired i said ', 'of the war really i asked i ', 'cat i said really theres no way ', 'i do i really do ive never ', 'sport if you really want winter sport ', 'catherine do you really want to go ', 'here yes were really here we followed ', 'suppose if we really have this child ', 'a big-hearted joker really he was very ', 'them hear better really i dont believe ', 'said im fine really ill stay awhile ', 'say it wasnt really so bad but '], 'chapters': {2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 23, 26, 27, 28, 29, 33, 35, 37, 41}}"
423,valuable,"{'word': 'valuable', 'count': 2, 'pages': {195}, 'contexts': ['it is very valuable said the lieutenant ', 'saved the most valuable things on some '], 'chapters': {28}}"
424,tells,"{'word': 'tells', 'count': 2, 'pages': {8, 118}, 'contexts': ['the lieutenant it tells you about those ', 'said he never tells me i do '], 'chapters': {2, 19}}"
425,priests,"{'word': 'priests', 'count': 1, 'pages': set(), 'contexts': ['you about those priests you will like '], 'chapters': set()}"
426,candle-light,"{'word': 'candle-light', 'count': 2, 'pages': {8}, 'contexts': ['back across the candle-light dont you read ', 'again again the candle-light made its shadows '], 'chapters': {2}}"
