,0,1
170,back,270
171,camions,3
172,even,41
173,sitting,35
174,generals,1
175,face,60
176,top,23
177,cap,16
178,narrow,21
179,car,61
180,especially,7
181,probably,33
182,king,7
183,udine,19
184,way,101
185,nearly,21
186,every,42
187,things,69
188,badly,18
189,start,34
190,winter,26
191,permanent,2
192,cholera,1
193,checked,1
194,end,31
195,seven,6
196,thousand,12
197,died,8
198,army,32
199,next,30
200,victories,6
201,hillside,3
202,grew,4
203,captured,5
204,plateau,8
205,south,15
206,crossed,23
207,august,1
208,gorizia,10
209,fountain,3
210,thick,9
211,shady,1
212,walled,1
213,garden,16
214,wistaria,1
215,vine,2
216,purple,1
217,mile,7
218,away,137
219,town,63
220,nice,46
221,fine,105
222,ran,20
223,us,147
224,handsomely,1
225,taken,25
226,glad,34
227,austrians,34
228,seemed,35
229,want,194
230,come,211
231,time,150
232,war,117
233,bombard,1
234,destroy,1
235,little,161
236,military,7
237,people,73
238,hospitals,10
239,cafés,2
240,streets,7
241,bawdy,2
242,houses,22
243,shell-marked,1
244,iron,10
245,railway,18
246,bridge,55
247,smashed,8
248,tunnel,3
249,around,73
250,square,12
251,avenue,1
252,led,14
253,girls,54
254,seeing,13
255,necked,1
256,body,7
257,beard,16
258,goat,3
259,s,592
260,chin,4
261,tuft,1
262,sudden,3
263,interiors,1
264,lost,18
265,wall,32
266,shelling,6
267,plaster,2
268,rubble,3
269,gardens,5
270,street,47
271,whole,16
272,thing,42
273,well,74
274,carso,6
275,made,62
276,different,13
277,last,17
278,changed,5
279,oak,2
280,stumps,3
281,broken,15
282,ground,11
283,torn,3
284,cloud,3
285,dull,12
286,yellow,7
287,everything,36
288,sky,9
289,suddenly,17
290,snow,41
291,slanted,1
292,wind,35
293,projected,1
294,paths,4
295,latrines,1
296,trenches,3
297,later,23
298,watched,50
299,looking,64
300,sat,96
301,friend,22
302,glasses,16
303,drinking,6
304,bottle,45
305,asti,1
306,slowly,19
307,heavily,6
308,knew,70
309,none,10
310,left,61
311,priest,88
312,mess,24
313,walking,17
314,carefully,8
315,slush,4
316,pounded,1
317,attract,1
318,attention,3
319,smiled,47
320,motioned,4
321,shook,35
322,head,74
323,spaghetti,7
324,course,34
325,ate,23
326,quickly,11
327,seriously,1
328,lifting,3
329,fork,1
330,loose,5
331,strands,2
332,hung,12
333,lowering,1
334,mouth,10
335,else,37
336,using,5
337,continuous,1
338,lift,5
339,sucking,2
340,helping,1
341,wine,62
342,grass-covered,1
343,gallon,1
344,flask,2
345,swung,5
346,metal,10
347,cradle,1
348,neck,18
349,forefinger,3
350,red,25
351,tannic,1
352,lovely,68
353,poured,17
354,glass,59
355,held,64
356,hand,67
357,captain,42
358,commenced,11
359,picking,1
360,young,21
361,blushed,3
362,easily,10
363,wore,27
364,uniform,15
365,rest,11
366,cross,19
367,velvet,1
368,breast,2
369,pocket,13
370,tunic,8
371,spoke,15
372,pidgin,2
373,italian,57
374,doubtful,2
375,benefit,1
376,order,12
377,might,43
378,understand,20
379,perfectly,3
380,nothing,86
381,to-day,5
382,said,1218
383,baited,1
384,often,10
385,true,14
386,asked,153
387,amused,1
388,baiting,2
389,never,111
390,explained,4
391,took,102
392,filled,13
393,eyes,27
394,losing,6
395,sight,28
396,five,25
397,table,51
398,laughed,26
399,gesture,1
400,loudly,1
401,accepted,2
402,joke,13
403,pope,1
404,wants,12
405,win,9
406,major,74
407,loves,4
408,franz,1
409,joseph,1
410,money,32
411,comes,20
412,atheist,1
413,ever,47
414,read,41
415,pig,1
416,lieutenant,22
417,get,266
418,copy,3
419,faith,3
420,filthy,2
421,vile,1
422,really,75
423,valuable,2
424,tells,2
425,priests,1
426,candle-light,2
427,n't,893
428,thinking,23
429,atheists,1
430,believe,54
431,free,3
432,masons,2
433,however,3
434,noble,3
435,organization,1
436,door,93
437,opened,42
438,offensive,12
439,certainly,14
440,go,400
441,leave,52
442,rome,15
443,naples,3
444,sicily,1
445,visit,3
446,amalfi,3
447,write,16
448,cards,6
449,family,15
450,love,75
451,son,11
452,palermo,1
453,ought,35
454,capri,10
455,would,364
456,abruzzi,10
457,capracotta,2
458,listen,9
459,talk,60
460,peasants,9
461,let,113
462,centres,1
463,culture,1
464,civilization,1
465,give,55
466,addresses,1
467,places,10
468,beautiful,35
469,accompanied,1
470,mothers,1
471,ha,4
472,spread,8
473,open,48
474,thumb,7
475,fingers,10
476,outspread,1
477,make,76
478,shadow,7
479,pictures,1
480,pointed,12
481,touched,11
482,finger,13
483,shadows,2
484,started,79
485,upright,1
486,named,5
487,four,24
488,soto-tenente,2
489,tenente,77
490,first,71
491,capitano,3
492,maggiore,12
493,tenente-colonello,1
494,soto-colonello,1
495,great,45
496,success,5
497,games,4
498,shouted,11
499,must,76
500,show,16
501,bring,38
502,phonograph,3
503,good,195
504,opera,2
505,disks,1
506,caruso,2
507,bellows,3
508,wish,45
509,bellow,1
510,say,87
511,others,32
512,shouting,1
513,hunting,4
514,cold,41
515,stay,52
516,father,26
517,famous,1
518,hunter,2
519,whorehouse,2
520,shuts,1
521,good-night,23
522,still,62
523,spring,14
524,fields,19
525,shoots,1
526,sea,5
527,hill,11
528,old,60
529,castle,2
530,cup,8
531,hills,10
532,slopes,2
533,new,31
534,met,16
535,british,20
536,women,9
537,hit,18
538,shell,15
539,fire,24
540,warm,17
541,walked,63
542,alleyway,1
543,warmed,3
544,found,24
545,soldier,28
546,bench,6
547,outside,90
548,ambulance,20
549,waiting,10
550,inside,43
551,smell,9
552,marble,7
553,floors,4
554,hospital,76
555,room,137
556,desk,7
557,sunlight,11
558,know,222
559,whether,11
560,report,10
561,upstairs,12
562,clean,20
563,decided,6
564,shared,1
565,rinaldi,99
566,courtyard,6
567,blankets,1
568,gas,11
569,mask,22
570,oblong,1
571,tin,4
572,steel,9
573,helmet,4
574,peg,1
575,foot,18
576,flat,17
577,trunk,5
578,boots,18
579,shiny,3
580,oil,5
581,austrian,18
582,sniper,1
583,rifle,7
584,blued,1
585,octagon,1
586,barrel,4
587,walnut,1
588,cheek-fitted,1
589,schutzen,1
590,stock,2
591,beds,9
592,telescope,1
593,fitted,1
594,remembered,8
595,locked,6
596,lay,48
597,asleep,16
598,woke,21
599,ciaou,9
600,kind,10
601,magnificent,2
602,hands,33
603,put,134
604,arm,30
605,kissed,23
606,oughf,1
607,re,202
608,dirty,14
609,wash,6
610,tell,99
611,everywhere,7
612,milan,30
613,florence,1
614,villa,22
615,san,19
616,giovanni,2
617,messina,1
618,taormina,1
619,time-table,1
620,adventures,2
621,yes,181
622,milano,3
623,firenze,1
624,roma,2
625,napoli,1
626,enough,33
627,best,16
628,meet,7
629,cova,6
630,feel,72
631,wonderful,23
632,afternoon,21
633,english,46
634,miss,82
635,barkley,43
636,take,124
637,call,16
638,marry,10
639,washed,12
640,anybody,9
641,work,34
642,since,5
643,frostbites,1
644,chilblains,1
645,jaundice,13
646,gonorrhea,3
647,self-inflicted,5
648,wounds,11
649,pneumonia,1
650,hard,47
651,soft,7
652,chancres,1
653,week,3
654,gets,3
655,wounded,38
656,rock,4
657,fragments,5
658,real,9
659,starts,3
660,perhaps,22
661,think,139
662,right,222
663,absolutely,2
664,basin,8
665,full,22
666,to-night,12
667,sleep,65
668,fresh,4
669,shirt,10
670,rubbed,3
671,towel,1
672,lying,23
673,closed,13
674,good-looking,2
675,age,4
676,loved,14
677,surgeon,12
678,friends,13
679,loan,2
680,fifty,9
681,lire,22
682,dried,6
683,pocket-book,3
684,hanging,3
685,note,11
686,folded,6
687,without,29
688,slid,2
689,breeches,3
690,impression,4
691,man,81
692,sufficient,1
693,wealth,1
694,financial,1
695,protector,1
696,hell,27
697,disappointed,3
698,hurt,24
699,written,4
700,preparations,2
701,felt,71
702,wanted,51
703,tried,27
704,explain,2
705,finally,20
706,understood,8
707,almost,27
708,drunk,27
709,coffee,24
710,strega,2
711,winefully,1
712,talking,23
713,argued,2
714,place,75
715,frozen,3
716,powdery,1
717,hare-tracks,1
718,hats,6
719,called,23
720,lord,4
721,smoke,8
722,whirled,1
723,needed,7
724,stop,45
725,strange,16
726,excitement,1
727,waking,5
728,knowing,2
729,world,11
730,unreal,2
731,exciting,6
732,resume,1
733,unknowing,1
734,caring,2
735,sure,32
736,care,24
737,wake,13
738,morning,46
739,sharp,7
740,dispute,1
741,cost,3
742,pleasant,18
743,fond,3
744,breakfast,30
745,lunch,22
746,niceness,1
747,always,78
748,starting,7
749,difference,16
750,better,82
751,unless,8
752,tastes,2
753,alike,6
754,known,6
755,learned,5
756,able,13
757,forget,12
758,although,8
759,meantime,1
760,meal,9
761,finished,18
762,argument,1
763,stopped,61
764,happy,37
765,listened,9
766,attack,33
767,suppose,21
768,shall,2
769,nodded,8
770,alone,33
771,ca,85
772,anything,99
773,anyway,24
774,got,111
775,battery,4
776,gravel,4
777,moist,1
778,grass,2
779,dew,2
780,fired,10
781,twice,8
782,air,12
783,blow,9
784,pajamas,2
785,flap,1
786,evidently,3
787,firing,11
788,directly,2
789,nuisance,2
790,comfort,1
791,bigger,3
792,truck,6
793,dressed,13
794,downstairs,12
795,kitchen,9
796,garage,3
797,ten,10
798,lined,7
799,shed,2
800,top-heavy,1
801,blunt-nosed,1
802,ambulances,8
803,painted,2
804,built,3
805,moving-vans,2
806,mechanics,7
807,working,15
808,yard,4
809,three,75
810,dressing,22
811,stations,4
812,signor,11
813,protected,4
814,bad,58
815,machine,4
816,march,3
817,permission,4
818,wiped,11
819,jumper,1
820,grinned,2
821,matter,35
822,rings,2
823,disgraced,1
824,empty,32
825,engine,9
826,parts,3
827,moderately,3
828,freshly,4
829,tires,1
830,cuts,1
831,stone,32
832,bruises,1
833,condition,3
834,imagined,1
835,obtainable,1
836,smooth,14
837,functioning,1
838,business,9
839,removing,2
840,sick,22
841,hauling,3
842,clearing,4
843,station,43
844,distributing,1
845,papers,53
846,depended,1
847,considerable,1
848,extent,1
849,trouble,29
850,getting,22
851,sergeant,16
852,mechanic,1
853,gasoline,1
854,park,7
855,drank,38
856,bowl,2
857,pale,3
858,sweet,28
859,condensed,1
860,milk,3
861,beginning,6
862,dryness,1
863,nose,7
864,meant,9
865,hot,29
866,visited,1
867,posts,6
868,run,9
869,division,4
870,worked,16
871,told,36
872,gorge,1
873,near,19
874,keep,32
875,selected,1
876,infantry,4
877,supposed,9
878,gave,32
879,false,3
880,soldiering,1
881,hugo,1
882,grammar,1
883,hair,29
884,shone,8
885,splendid,30
886,please,73
887,wait,20
888,till,7
889,cleaned,3
890,brushed,2
891,minute,16
892,drink,89
893,grappa,9
894,extended,1
895,strong,6
896,second,19
897,stairs,22
898,germans,25
899,nurse,54
900,uniforms,4
901,toward,56
902,saluted,6
903,oh,82
904,laughing,8
905,odd,2
906,explanation,3
907,brought,55
908,awfully,29
909,relief,1
910,stick,9
911,quite,34
912,tall,15
913,blonde,4
914,tawny,1
915,skin,3
916,thought,85
917,carrying,9
918,rattan,1
919,toy,1
920,riding-crop,1
921,bound,1
922,belonged,3
923,boy,60
924,killed,30
925,m,229
926,sorry,20
927,somme,2
928,ghastly,1
929,ve,98
930,sort,11
931,sent,22
932,mother,10
933,returned,5
934,engaged,1
935,eight,3
936,years,12
937,together,42
938,fool,10
939,given,5
940,cut,43
941,something,99
942,married,41
943,worse,15
944,stand,11
945,name,23
946,ferguson,42
947,helen,3
948,doctor,104
949,rarely,2
950,find,33
951,close,40
952,silly,17
953,ll,334
954,done,24
955,nursing,1
956,fifteen,7
957,remember,19
958,idea,6
959,sabre,2
960,bandage,3
961,shot,27
962,shoulder,22
963,picturesque,2
964,realize,11
965,france,6
966,blew,10
967,bits,1
968,crack,12
969,somewhere,8
970,wo,113
971,may,19
972,italy,15
973,abbastanza,1
974,bene,1
975,translated,4
976,england,4
977,scotch,6
978,blankly,1
979,scotland,3
980,pas,1
981,encore,1
982,literally,2
983,home,33
984,prefers,2
985,noticed,6
986,drove,23
987,duty,15
988,american,38
989,ma'am,1
990,happen,10
991,join,4
992,afraid,46
993,italians,30
994,learning,1
995,language,4
996,somebody,14
997,learn,10
998,weeks,7
999,studied,2
1000,o'clock,15
1001,lot,12
1002,evening,16
1003,rivederci,1
1004,rivederla,1
1005,impossible,8
1006,salute,2
1007,foreigners,1
1008,embarrassment,1
1009,export,1
1010,bridgehead,2
1011,plava,8
1012,begin,2
1013,advance,4
1014,far,39
1015,leading,5
1016,pass,11
1017,pontoon,4
1018,machine-gun,5
1019,wide,12
1020,either,9
1021,carry,10
1022,transport,3
1023,shambles,1
1024,hold,31
1025,half,11
1026,nasty,2
1027,mutual,1
1028,tolerance,1
1029,kept,31
1030,yards,5
1031,lines,8
1032,repaired,1
1033,used,11
1034,smashed-down,1
1035,edge,15
1036,slope,2
1037,everybody,23
1038,dugouts,2
1039,racks,2
1040,rockets,3
1041,standing,30
1042,help,15
1043,signal,1
1044,telephone,7
1045,wires,2
1046,quiet,19
1047,wire,2
1048,nobody,13
1049,zig-zag,1
1050,turns,3
1051,system,1
1052,carts,12
1053,loaded,8
1054,returning,1
1055,stretcher-bearers,8
1056,level,7
1057,shelled,2
1058,steadily,8
1059,sheltered,2
1060,bad-looking,1
1061,bit,8
1062,liked,15
1063,drive,13
1064,yet,22
1065,grade,2
1066,impressive,2
1067,openings,1
1068,metal-to,1
1069,brakes,1
1070,carabinieri,17
1071,fallen,2
1072,waited,18
1073,seventy-sevens,1
1074,whishing,1
1075,rush,3
1076,bright,9
1077,burst,9
1078,flash,7
1079,waved,15
1080,shells,3
1081,landed,3
1082,avoided,3
1083,smelled,10
1084,high,32
1085,explosive,3
1086,blasted,1
1087,clay,1
1088,shattered,1
1089,flint,1
1090,dinner,17
1091,large,5
1092,grounds,1
1093,excused,1
1094,d,71
1095,rather,12
1096,letters,5
1097,mr,21
1098,henry,17
1099,bother,1
1100,censor,1
1101,worry,29
1102,live,23
1103,brave,20
1104,decorated,3
1105,catherine,292
1106,v,3
1107,trusts,1
1108,trust,3
1109,takes,2
1110,short,19
1111,special,5
1112,behavior,1
1113,cloistered,1
1114,drop,9
1115,leaned,9
1116,kiss,11
1117,stinging,1
1118,slapped,9
1119,tears,2
1120,reflex,1
1121,certain,7
1122,advantage,1
1123,dreadfully,2
1124,nurse's-evening,1
1125,aspect,1
1126,mean,23
1127,angry,8
1128,ahead,51
1129,moves,2
1130,chess,3
1131,game,11
1132,exactly,6
1133,mind,30
1134,poor,17
1135,funny,13
1136,life,21
1137,need,23
1138,nonsense,9
1139,gotten,13
1140,laugh,3
1141,dear,22
1142,tight,12
1143,lips,6
1144,shivered,1
1145,heart,3
1146,beating,3
1147,crying,14
1148,darling,148
1149,stroked,3
1150,patted,11
1151,progress,2
1152,dog,5
1153,heat,4
1154,word,21
1155,insulting,1
1156,puppy,1
1157,knocked,10
1158,candle,2
1159,pillow,6
1160,picked,15
1161,lit,2
1162,reading,8
1163,days,18
1164,office,4
1165,busts,4
1166,wooden,8
1167,pillars,2
1168,walls,9
1169,hall,48
1170,complete,3
1171,quality,2
1172,sculpture,1
1173,bronzes,1
1174,cemetery,2
1175,pisa,1
1176,genoa,1
1177,marbles,1
1178,wealthy,1
1179,german,11
1180,plenty,15
1181,wondered,10
1182,members,1
1183,uniformly,1
1184,classical,1
1185,chair,20
1186,wear,13
1187,helmets,11
1188,uncomfortable,5
1189,bloody,9
1190,theatrical,1
1191,civilian,6
1192,inhabitants,2
1193,evacuated,2
1194,also,11
1195,required,1
1196,automatic,1
1197,pistol,18
1198,doctors,13
1199,sanitary,1
1200,liable,2
1201,arrest,12
1202,worn,4
1203,holster,8
1204,stuffed,1
1205,toilet,1
1206,paper,27
1207,gunman,1
1208,practised,2
1209,astra,1
1210,7.65,1
1211,caliber,1
1212,jumped,3
1213,sharply,4
1214,question,9
1215,hitting,1
1216,holding,28
1217,target,1
1218,trying,11
1219,master,1
1220,jerk,2
1221,ridiculous,1
1222,within,1
1223,aimed,2
1224,twenty,5
1225,paces,1
1226,ridiculousness,1
1227,soon,28
1228,forgot,3
1229,flopping,1
1230,vague,3
1231,shame,5
1232,english-speaking,1
1233,orderly,25
1234,disapprovingly,1
1235,floor,39
1236,frescoes,3
1237,peel,1
1238,flake,1
1239,stood,56
1240,seem,5
1241,good-evening,3
1242,listening,2
1243,sit,16
1244,cooler,2
1245,post,19
1246,driveway,10
1247,anywhere,5
1248,walk,29
1249,third,12
1250,lied,3
1251,tree,1
1252,awful,8
1253,turned,56
1254,shut,23
1255,crazy,25
1256,climbed,16
1257,backward,2
1258,sign,4
1259,affection,1
1260,trips,1
1261,brother,5
1262,loving,5
1263,instead,8
1264,playing,8
1265,pretend,4
1266,stakes,2
1267,mentioned,1
1268,experiencing,1
1269,masculine,1
1270,difficulty,1
1271,making,13
1272,wherever,5
1273,tired,59
1274,rotten,11
1275,play,20
1276,purpose,5
1277,lie,15
1278,mad,2
1279,pressed,2
1280,sounds,4
1281,pronounce,2
1282,broke,4
1283,watch,26
1284,move,21
1285,deal,5
1286,gabriele,10
1287,rossa,3
1288,shutters,5
1289,singing,6
1290,undressing,2
1291,ah,1
1292,baby,59
1293,puzzled,2
1294,edifying,1
1295,sang,2
1296,calling,2
1297,thank,35
1298,god,34
1299,become,11
1300,involved,1
1301,smistimento,1
1302,sorted,1
1303,marked,2
1304,driving,5
1305,fiat,2
1306,regiment,12
1307,sweating,4
1308,slung,3
1309,ears,3
1310,better-fitting,1
1311,brigata,3
1312,basilicata,1
1313,identified,1
1314,striped,1
1315,collar,6
1316,mark,2
1317,stragglers,3
1318,platoons,1
1319,sweaty,1
1320,pretty,25
1321,limp,1
1322,beside,47
1323,wrong,5
1324,leg,24
1325,rupture,3
1326,ride,16
1327,slipped,1
1328,truss,3
1329,cough,3
1330,medical,10
1331,wound,7
1332,send,29
1333,105,1
1334,132,1
1335,helped,6
1336,speak,7
1337,goddam,3
1338,jesus,5
1339,christ,16
1340,states,4
1341,pittsburgh,2
1342,hernia,2
1343,lootenant,1
1344,threw,6
1345,line,49
1346,closer,7
1347,operated,5
1348,ai,3
1349,bump,8
1350,pick,5
1351,aldo,2
1352,cloudy,2
1353,snow-water,2
1354,running,11
1355,spiles,1
1356,deliver,1
1357,hotter,1
1358,horse,17
1359,forehead,7
1360,bleeding,2
1361,skinned,3
1362,patch,3
1363,shower,3
1364,trousers,5
1365,undershirt,1
1366,couple,9
1367,zona,1
1368,di,4
1369,guerra,1
1370,crossing,10
1371,handle,8
1372,post-cards,1
1373,america,12
1374,mysterious,2
1375,zone,1
1376,grim,1
1377,compared,1
1378,wars,4
1379,created,1
1380,napoleon,6
1381,wished,9
1382,il,1
1383,generale,1
1384,cadorna,1
1385,fat,6
1386,prosperous,1
1387,vittorio,1
1388,emmanuele,1
1389,tiny,3
1390,duke,1
1391,aosta,1
1392,maybe,54
1393,general,5
1394,lots,4
1395,uncle,3
1396,commanded,1
1397,batteries,1
1398,gunners,1
1399,shy,1
1400,embarrassed,3
1401,appreciative,1
1402,happened,17
1403,simpler,3
1404,drivers,18
1405,dangerous,5
1406,movies,1
1407,finish,8
1408,cracked,1
1409,french,9
1410,mutinied,1
1411,paris,2
1412,austria,7
1413,hartz,2
1414,carpathians,1
1415,spain,1
1416,cooling,1
1417,supper,9
1418,eat,42
1419,via,3
1420,manzoni,3
1421,turn,18
1422,canal,5
1423,hotel,43
1424,porter,41
1425,concierge,3
1426,ask,21
1427,key,3
1428,elevator,22
1429,clicking,3
1430,step,8
1431,bianca,1
1432,silver,11
1433,bucket,2
1434,ice,12
1435,hear,29
1436,pail,2
1437,condor,1
1438,knock,1
1439,clothes,18
1440,swallows,3
1441,flying,4
1442,roofs,10
1443,bats,3
1444,sheet,7
1445,talked,17
1446,tonight,2
1447,brothers,5
1448,archbishop,1
1449,ireland,4
1450,whose,2
1451,injustice,1
1452,injustices,1
1453,received,2
1454,participated,1
1455,feigned,1
1456,acquaintance,1
1457,impolite,1
1458,causes,2
1459,misunderstandings,1
1460,minnesota,2
1461,wisconsin,1
1462,michigan,1
1463,sounded,3
1464,island,7
1465,enamel,1
1466,teeth,6
1467,roof,8
1468,rocca,3
1469,per,3
1470,cent,3
1471,bonds,5
1472,person,2
1473,arrested,7
1474,denied,2
1475,knowledge,2
1476,béziers,1
1477,jail,5
1478,evident,1
1479,stolen,1
1480,telling,4
1481,informative,1
1482,appreciate,4
1483,accounted,1
1484,several,18
1485,local,3
1486,obligations,1
1487,point,17
1488,story,8
1489,cell,1
1490,confession,2
1491,bless,2
1492,sinned,1
1493,laughter,1
1494,ignored,2
1495,properly,2
1496,private,1
1497,placed,2
1498,bath,1
1499,eleven,4
1500,czecho-slovaks,1
1501,hungarian,1
1502,corporal,2
1503,jockey,3
1504,penny,2
1505,duchess,1
1506,travelling,1
1507,salesman,1
1508,arrived,2
1509,marseilles,1
1510,mistral,1
1511,blowing,9
1512,corpse,1
1513,bacchus,8
1514,test,3
1515,bassi,6
1516,fillipo,2
1517,vincenza,2
1518,already,12
1519,foul,1
1520,fillippo,1
1521,vicenza,3
1522,frederico,1
1523,enrico,5
1524,federico,6
1525,barred,1
1526,mugs,1
1527,half-way,1
1528,wins,1
1529,rendezvous,1
1530,stronger,1
1531,lighted,6
1532,candles,4
1533,gentlemen,2
1534,rinin,3
1535,chew,3
1536,handful,1
1537,roasted,1
1538,beans,2
1539,chewed,3
1540,gate,5
1541,pleasures,1
1542,outlines,1
1543,cypresses,1
1544,watching,9
1545,reception,2
1546,hail,6
1547,hallway,7
1548,hello,10
1549,hope,23
1550,ill,2
1551,try,37
1552,tomorrow,2
1553,lonely,7
1554,treated,1
1555,lightly,1
1556,somewhat,2
1557,forgotten,2
1558,hollow,3
1559,positiveness,1
1560,strategical,1
1561,riding,7
1562,entry,1
1563,caught,7
1564,junction,1
1565,cormons,2
1566,hurried,4
1567,moment,7
1568,yesterday,3
1569,leaving,5
1570,to-morrow,16
1571,unclasping,1
1572,saint,12
1573,anthony,6
1574,catholic,1
1575,useful,3
1576,good-by,36
1577,careful,8
1578,steps,4
1579,climbing,2
1580,capsule,3
1581,spilled,5
1582,wheel,6
1583,button,6
1584,gold,3
1585,chain,3
1586,undid,4
1587,clasp,1
1588,clasped,1
1589,throat,4
1590,unbuttoned,2
1591,dropped,10
1592,box,13
1593,chest,3
1594,curved,2
1595,wheels,14
1596,convoy,1
1597,unpleasant,2
1598,settled,5
1599,foothills,1
1600,mounted,3
1601,tops,4
1602,spaced,1
1603,interval,2
1604,column,16
1605,wearing,4
1606,fezzes,1
1607,bersaglieri,7
1608,mule,1
1609,train,36
1610,river-valley,1
1611,sides,12
1612,shallow,2
1613,low,15
1614,stretches,2
1615,sand,1
1616,channel,1
1617,sheen,1
1618,pebbly,1
1619,bank,28
1620,deep,11
1621,pools,2
1622,arched,2
1623,bridges,1
1624,tracks,9
1625,farmhouses,2
1626,pear,1
1627,candelabraed,1
1628,climb,4
1629,steeply,4
1630,forth,3
1631,woods,16
1632,ridge,10
1633,separated,5
1634,armies,2
1635,rough,8
1636,followed,13
1637,crest,1
1638,ranges,2
1639,snow-line,1
1640,range,1
1641,higher,1
1642,chalky,1
1643,furrowed,1
1644,planes,3
1645,hardly,7
1646,rounded,1
1647,turn-off,1
1648,dropping,2
1649,keeping,7
1650,ties,4
1651,rails,5
1652,onto,23
1653,main,21
1654,crowded,5
1655,screens,1
1656,corn-stalk,1
1657,straw,2
1658,matting,4
1659,entrance,7
1660,circus,1
1661,native,1
1662,matting-covered,1
1663,cleared,3
1664,space,2
1665,sunken,2
1666,holes,7
1667,dug,8
1668,observation,1
1669,balloons,1
1670,sunset,1
1671,parked,1
1672,brickyard,5
1673,ovens,1
1674,equipped,1
1675,screened,4
1676,hoped,11
1677,jam,6
1678,one-road,1
1679,bombardment,7
1680,shallows,1
1681,bend,1
1682,upturned,4
1683,mustaches,6
1684,libya,1
1685,woundstripes,1
1686,dugout,10
1687,pleased,5
1688,rum,1
1689,friendly,3
1690,package,8
1691,cigarettes,2
1692,macedonias,1
1693,loosely,1
1694,packed,8
1695,tobacco,4
1696,ends,3
1697,twisted,3
1698,smoked,3
1699,manera,17
1700,lighter,4
1701,shaped,3
1702,radiator,3
1703,passini,23
1704,eating,12
1705,chance,6
1706,field,24
1707,stew,5
1708,tins,1
1709,food,8
1710,silent,1
1711,hated,4
1712,backs,4
1713,earth,5
1714,shoulders,11
1715,relaxed,2
1716,goes,8
1717,gavuzzi,7
1718,draw,2
1719,fools,3
1720,discipline,2
1721,measurement,1
1722,healthy,5
1723,granatieri,3
1724,tenth,3
1725,spat,1
1726,grenadiers,1
1727,feet,17
1728,families,2
1729,smart,1
1730,guard,10
1731,bayonet,1
1732,sisters,3
1733,loses,2
1734,civil,1
1735,rights,1
1736,vote,1
1737,law,4
1738,protect,3
1739,property,1
1740,happens,5
1741,alpini,2
1742,e,1
1743,evviva,1
1744,l'esercito,1
1745,sarcastically,1
1746,behave,1
1747,respectfully,2
1748,defeat,5
1749,defend,1
1750,hang,4
1751,auto-ambulance,2
1752,nation,2
1753,battle,4
1754,tchecos,1
1755,conquered,1
1756,victory,6
1757,monfalcone,1
1758,trieste,2
1759,orator,1
1760,hates,1
1761,class,3
1762,controls,1
1763,stupid,10
1764,stupidity,1
1765,likes,1
1766,convert,1
1767,gordini,15
1768,quietest,1
1769,light,56
1770,search-lights,4
1771,camion,3
1772,directing,1
1773,crew,1
1774,scared,7
