word,count,contexts
222,0,
223,0,past pulled by motor-tractors there was much 
224,0,
225,0,
226,0,motor-tractors there was much traffic at night 
227,0,there was much traffic at night and 
228,0,
229,0,much traffic at night and many mules 
230,0,
231,0,at night and many mules on the 
232,0,night and many mules on the roads 
233,0,
234,0,
235,0,mules on the roads with boxes of 
236,0,
237,0,the roads with boxes of ammunition on 
238,0,
239,0,with boxes of ammunition on each side 
240,0,
241,0,
242,0,ammunition on each side of their pack 
243,0,
244,0,
245,0,side of their pack saddles and gray 
246,0,of their pack saddles and gray motor 
247,0,
248,0,pack saddles and gray motor trucks that 
249,0,saddles and gray motor trucks that carried 
250,0,and gray motor trucks that carried men 
251,0,
252,0,motor trucks that carried men and other 
253,0,trucks that carried men and other trucks 
254,0,
255,0,
256,0,men and other trucks with loads covered 
257,0,
258,0,other trucks with loads covered with canvas 
259,0,trucks with loads covered with canvas that 
260,0,
261,0,loads covered with canvas that moved slower 
262,0,
263,0,with canvas that moved slower in the 
264,0,canvas that moved slower in the traffic 
265,0,
266,0,
267,0,slower in the traffic there were big 
268,0,
269,0,
270,0,traffic there were big guns too that 
271,0,there were big guns too that passed 
272,0,
273,0,
274,0,guns too that passed in the day 
275,0,
276,0,
277,0,passed in the day drawn by tractors 
278,0,in the day drawn by tractors the 
279,0,
280,0,day drawn by tractors the long barrels 
281,0,
282,0,by tractors the long barrels of the 
283,0,tractors the long barrels of the guns 
284,0,
285,0,
286,0,barrels of the guns covered with green 
287,0,of the guns covered with green branches 
288,0,
289,0,guns covered with green branches and green 
290,0,covered with green branches and green leafy 
291,0,
292,0,green branches and green leafy branches and 
293,0,branches and green leafy branches and vines 
294,0,and green leafy branches and vines laid 
295,0,
296,0,leafy branches and vines laid over the 
297,0,branches and vines laid over the tractors 
298,0,
299,0,
300,0,laid over the tractors to the north 
301,0,
302,0,
303,0,tractors to the north we could look 
304,0,
305,0,the north we could look across a 
306,0,north we could look across a valley 
307,0,we could look across a valley and 
308,0,
309,0,look across a valley and see a 
310,0,
311,0,a valley and see a forest of 
312,0,
313,0,and see a forest of chestnut trees 
314,0,
315,0,a forest of chestnut trees and behind 
316,0,forest of chestnut trees and behind it 
317,0,
318,0,chestnut trees and behind it another mountain 
319,0,
320,0,and behind it another mountain on this 
321,0,behind it another mountain on this side 
322,0,
323,0,
324,0,mountain on this side of the river 
325,0,
326,0,
327,0,side of the river there was fighting 
328,0,
329,0,
330,0,river there was fighting for that mountain 
331,0,
332,0,
333,0,fighting for that mountain too but it 
334,0,
335,0,that mountain too but it was not 
336,0,
337,0,
338,0,
339,0,it was not successful and in the 
340,0,
341,0,
342,0,
343,0,and in the fall when the rains 
344,0,
345,0,
346,0,fall when the rains came the leaves 
347,0,when the rains came the leaves all 
348,0,
349,0,rains came the leaves all fell from 
350,0,
351,0,the leaves all fell from the chestnut 
352,0,
353,0,
354,0,fell from the chestnut trees and the 
355,0,from the chestnut trees and the branches 
356,0,
357,0,
358,0,trees and the branches were bare and 
359,0,
360,0,the branches were bare and the trunks 
361,0,
362,0,
363,0,bare and the trunks black with rain 
364,0,and the trunks black with rain the 
365,0,
366,0,trunks black with rain the vineyards were 
367,0,
368,0,with rain the vineyards were thin and 
369,0,
370,0,the vineyards were thin and bare-branched too 
371,0,
372,0,were thin and bare-branched too and all 
373,0,
374,0,
375,0,
376,0,
377,0,and all the country wet and brown 
378,0,all the country wet and brown and 
379,0,
380,0,country wet and brown and dead with 
381,0,
382,0,and brown and dead with the autumn 
383,0,
384,0,
385,0,dead with the autumn there were mists 
386,0,
387,0,
388,0,autumn there were mists over the river 
389,0,
390,0,
391,0,mists over the river and clouds on 
392,0,
393,0,the river and clouds on the mountain 
394,0,
395,0,
396,0,clouds on the mountain and the trucks 
397,0,
398,0,
399,0,mountain and the trucks splashed mud on 
400,0,and the trucks splashed mud on the 
401,0,the trucks splashed mud on the road 
402,0,
403,0,
404,0,mud on the road and the troops 
405,0,
406,0,
407,0,road and the troops were muddy and 
408,0,
409,0,the troops were muddy and wet in 
410,0,
411,0,were muddy and wet in their capes 
412,0,
413,0,
414,0,wet in their capes their rifles were 
415,0,
416,0,their capes their rifles were wet and 
417,0,
418,0,their rifles were wet and under their 
419,0,
420,0,
421,0,
422,0,and under their capes the two leather 
423,0,
424,0,their capes the two leather cartridge-boxes on 
425,0,capes the two leather cartridge-boxes on the 
426,0,the two leather cartridge-boxes on the front 
427,0,
428,0,
429,0,cartridge-boxes on the front of the belts 
430,0,
431,0,
432,0,front of the belts gray leather boxes 
433,0,of the belts gray leather boxes heavy 
434,0,the belts gray leather boxes heavy with 
435,0,belts gray leather boxes heavy with the 
436,0,gray leather boxes heavy with the packs 
437,0,
438,0,
439,0,heavy with the packs of clips of 
440,0,
441,0,the packs of clips of thin long 
442,0,
443,0,of clips of thin long 6.5 mm 
444,0,clips of thin long 6.5 mm cartridges 
445,0,of thin long 6.5 mm cartridges bulged 
446,0,thin long 6.5 mm cartridges bulged forward 
447,0,long 6.5 mm cartridges bulged forward under 
448,0,6.5 mm cartridges bulged forward under the 
449,0,mm cartridges bulged forward under the capes 
450,0,
451,0,
452,0,forward under the capes so that the 
453,0,
454,0,
455,0,
456,0,so that the men passing on the 
457,0,that the men passing on the road 
458,0,
459,0,
460,0,passing on the road marched as though 
461,0,on the road marched as though they 
462,0,
463,0,road marched as though they were six 
464,0,
465,0,
466,0,though they were six months gone with 
467,0,they were six months gone with child 
468,0,were six months gone with child there 
469,0,
470,0,months gone with child there were small 
471,0,
472,0,
473,0,child there were small gray motor cars 
474,0,there were small gray motor cars that 
475,0,were small gray motor cars that passed 
476,0,small gray motor cars that passed going 
477,0,
478,0,motor cars that passed going very fast 
479,0,cars that passed going very fast usually 
480,0,
481,0,passed going very fast usually there was 
482,0,going very fast usually there was an 
483,0,
484,0,
485,0,
486,0,there was an officer on the seat 
487,0,
488,0,
489,0,officer on the seat with the driver 
490,0,
491,0,
492,0,seat with the driver and more officers 
493,0,
494,0,
495,0,driver and more officers in the back 
496,0,
497,0,
498,0,officers in the back seat they splashed 
499,0,in the back seat they splashed more 
500,0,
501,0,back seat they splashed more mud than 
502,0,
503,0,they splashed more mud than the camions 
504,0,
505,0,
506,0,mud than the camions even and if 
507,0,than the camions even and if one 
508,0,
509,0,
510,0,even and if one of the officers 
511,0,
512,0,
513,0,one of the officers in the back 
514,0,
515,0,
516,0,officers in the back was very small 
517,0,
518,0,
519,0,back was very small and sitting between 
520,0,
521,0,very small and sitting between two generals 
522,0,
523,0,and sitting between two generals he himself 
524,0,sitting between two generals he himself so 
525,0,
526,0,
527,0,
528,0,he himself so small that you could 
529,0,
530,0,
531,0,small that you could not see his 
532,0,
533,0,you could not see his face but 
534,0,
535,0,not see his face but only the 
536,0,see his face but only the top 
537,0,
538,0,
539,0,but only the top of his cap 
540,0,
541,0,
542,0,top of his cap and his narrow 
543,0,
544,0,
545,0,cap and his narrow back and if 
546,0,and his narrow back and if the 
547,0,
548,0,
549,0,
550,0,and if the car went especially fast 
551,0,if the car went especially fast it 
552,0,the car went especially fast it was 
553,0,car went especially fast it was probably 
554,0,
555,0,
556,0,fast it was probably the king he 
557,0,
558,0,was probably the king he lived in 
559,0,
560,0,the king he lived in udine and 
561,0,
562,0,he lived in udine and came out 
563,0,
564,0,in udine and came out in this 
565,0,
566,0,
567,0,
568,0,out in this way nearly every day 
569,0,in this way nearly every day to 
570,0,this way nearly every day to see 
571,0,way nearly every day to see how 
572,0,
573,0,every day to see how things were 
574,0,
575,0,to see how things were going and 
576,0,
577,0,how things were going and things went 
578,0,
579,0,were going and things went very badly 
580,0,going and things went very badly at 
581,0,
582,0,things went very badly at the start 
583,0,
584,0,
585,0,badly at the start of the winter 
586,0,
587,0,
588,0,start of the winter came the permanent 
589,0,of the winter came the permanent rain 
590,0,
591,0,winter came the permanent rain and with 
592,0,came the permanent rain and with the 
593,0,
594,0,
595,0,
596,0,and with the rain came the cholera 
597,0,with the rain came the cholera but 
598,0,
599,0,rain came the cholera but it was 
600,0,came the cholera but it was checked 
601,0,
602,0,
603,0,but it was checked and in the 
604,0,
605,0,
606,0,
607,0,and in the end only seven thousand 
608,0,
609,0,the end only seven thousand died of 
610,0,end only seven thousand died of it 
611,0,only seven thousand died of it in 
612,0,
613,0,
614,0,
615,0,
616,0,it in the army the next year 
617,0,
618,0,the army the next year there were 
619,0,army the next year there were many 
620,0,
621,0,
622,0,year there were many victories the mountain 
623,0,there were many victories the mountain that 
624,0,
625,0,many victories the mountain that was beyond 
626,0,
627,0,
628,0,mountain that was beyond the valley and 
629,0,
630,0,was beyond the valley and the hillside 
631,0,
632,0,
633,0,valley and the hillside where the chestnut 
634,0,
635,0,
636,0,hillside where the chestnut forest grew was 
637,0,where the chestnut forest grew was captured 
638,0,the chestnut forest grew was captured and 
639,0,
640,0,forest grew was captured and there were 
641,0,
642,0,
643,0,
644,0,and there were victories beyond the plain 
645,0,there were victories beyond the plain on 
646,0,
647,0,victories beyond the plain on the plateau 
648,0,
649,0,
650,0,plain on the plateau to the south 
651,0,
652,0,
653,0,plateau to the south and we crossed 
654,0,
655,0,
656,0,south and we crossed the river in 
657,0,
658,0,we crossed the river in august and 
659,0,
660,0,the river in august and lived in 
661,0,
662,0,in august and lived in a house 
663,0,
664,0,
665,0,lived in a house in gorizia that 
666,0,
667,0,a house in gorizia that had a 
668,0,
669,0,
670,0,
671,0,that had a fountain and many thick 
672,0,
673,0,a fountain and many thick shady trees 
674,0,fountain and many thick shady trees in 
675,0,and many thick shady trees in a 
676,0,many thick shady trees in a walled 
677,0,
678,0,
679,0,trees in a walled garden and a 
680,0,in a walled garden and a wistaria 
681,0,
682,0,
683,0,garden and a wistaria vine purple on 
684,0,and a wistaria vine purple on the 
685,0,a wistaria vine purple on the side 
686,0,
687,0,
688,0,purple on the side of the house 
689,0,
690,0,
691,0,side of the house now the fighting 
692,0,
693,0,
694,0,house now the fighting was in the 
695,0,
696,0,
697,0,
698,0,was in the next mountains beyond and 
699,0,in the next mountains beyond and was 
700,0,the next mountains beyond and was not 
701,0,
702,0,
703,0,
704,0,
705,0,was not a mile away the town 
706,0,not a mile away the town was 
707,0,
708,0,mile away the town was very nice 
709,0,
710,0,
711,0,town was very nice and our house 
712,0,
713,0,
714,0,nice and our house was very fine 
715,0,
716,0,
717,0,house was very fine the river ran 
718,0,
719,0,very fine the river ran behind us 
720,0,fine the river ran behind us and 
721,0,the river ran behind us and the 
722,0,river ran behind us and the town 
723,0,
724,0,
725,0,us and the town had been captured 
726,0,
727,0,
728,0,town had been captured very handsomely but 
729,0,
730,0,been captured very handsomely but the mountains 
731,0,captured very handsomely but the mountains beyond 
732,0,
733,0,handsomely but the mountains beyond it could 
734,0,but the mountains beyond it could not 
735,0,
736,0,mountains beyond it could not be taken 
737,0,
738,0,
739,0,could not be taken and i was 
740,0,
741,0,
742,0,
743,0,
744,0,i was very glad the austrians seemed 
745,0,
746,0,very glad the austrians seemed to want 
747,0,glad the austrians seemed to want to 
748,0,
749,0,austrians seemed to want to come back 
750,0,
751,0,to want to come back to the 
752,0,want to come back to the town 
753,0,
754,0,
755,0,back to the town some time if 
756,0,
757,0,the town some time if the war 
758,0,
759,0,
760,0,time if the war should end because 
761,0,
762,0,the war should end because they did 
763,0,
764,0,
765,0,
766,0,
767,0,they did not bombard it to destroy 
768,0,
769,0,
770,0,bombard it to destroy it but only 
771,0,
772,0,to destroy it but only a little 
773,0,
774,0,
775,0,but only a little in a military 
776,0,
777,0,
778,0,little in a military way people lived 
779,0,in a military way people lived on 
780,0,a military way people lived on in 
781,0,military way people lived on in it 
782,0,
783,0,
784,0,
785,0,
786,0,
787,0,
788,0,and there were hospitals and cafés and 
789,0,
790,0,were hospitals and cafés and artillery up 
791,0,
792,0,and cafés and artillery up side streets 
793,0,
794,0,and artillery up side streets and two 
795,0,artillery up side streets and two bawdy 
796,0,
797,0,side streets and two bawdy houses one 
798,0,streets and two bawdy houses one for 
799,0,and two bawdy houses one for troops 
800,0,two bawdy houses one for troops and 
801,0,
802,0,houses one for troops and one for 
803,0,
804,0,for troops and one for officers and 
805,0,
806,0,and one for officers and with the 
807,0,
808,0,
809,0,
810,0,and with the end of the summer 
811,0,
812,0,
813,0,end of the summer the cool nights 
814,0,
815,0,the summer the cool nights the fighting 
816,0,summer the cool nights the fighting in 
817,0,
818,0,cool nights the fighting in the mountains 
819,0,
820,0,
821,0,fighting in the mountains beyond the town 
822,0,in the mountains beyond the town the 
823,0,
824,0,mountains beyond the town the shell-marked iron 
825,0,
826,0,the town the shell-marked iron of the 
827,0,town the shell-marked iron of the railway 
828,0,
829,0,
830,0,iron of the railway bridge the smashed 
831,0,of the railway bridge the smashed tunnel 
832,0,
833,0,railway bridge the smashed tunnel by the 
834,0,bridge the smashed tunnel by the river 
835,0,
836,0,
837,0,tunnel by the river where the fighting 
838,0,
839,0,
840,0,river where the fighting had been the 
841,0,
842,0,
843,0,
844,0,had been the trees around the square 
845,0,been the trees around the square and 
846,0,
847,0,trees around the square and the long 
848,0,
849,0,
850,0,square and the long avenue of trees 
851,0,and the long avenue of trees that 
852,0,
853,0,long avenue of trees that led to 
854,0,
855,0,of trees that led to the square 
856,0,
857,0,
858,0,led to the square these with there 
859,0,
860,0,
861,0,
862,0,
863,0,with there being girls in the town 
864,0,
865,0,
866,0,girls in the town the king passing 
867,0,
868,0,the town the king passing in his 
869,0,town the king passing in his motor 
870,0,
871,0,
872,0,passing in his motor car sometimes now 
873,0,in his motor car sometimes now seeing 
874,0,his motor car sometimes now seeing his 
875,0,
876,0,car sometimes now seeing his face and 
877,0,
878,0,now seeing his face and little long 
879,0,
880,0,his face and little long necked body 
881,0,face and little long necked body and 
882,0,and little long necked body and gray 
883,0,little long necked body and gray beard 
884,0,
885,0,necked body and gray beard like a 
886,0,body and gray beard like a goat 
887,0,and gray beard like a goat 's 
888,0,
889,0,beard like a goat 's chin tuft 
890,0,
891,0,a goat 's chin tuft all these 
892,0,goat 's chin tuft all these with 
893,0,
894,0,
895,0,
896,0,
897,0,these with the sudden interiors of houses 
898,0,with the sudden interiors of houses that 
899,0,
900,0,sudden interiors of houses that had lost 
901,0,
902,0,
903,0,houses that had lost a wall through 
904,0,
905,0,had lost a wall through shelling with 
906,0,
907,0,a wall through shelling with plaster and 
908,0,
909,0,through shelling with plaster and rubble in 
910,0,
911,0,with plaster and rubble in their gardens 
912,0,
913,0,
914,0,rubble in their gardens and sometimes in 
915,0,
916,0,their gardens and sometimes in the street 
917,0,
918,0,
919,0,sometimes in the street and the whole 
920,0,
921,0,
922,0,street and the whole thing going well 
923,0,and the whole thing going well on 
924,0,the whole thing going well on the 
925,0,whole thing going well on the carso 
926,0,
927,0,
928,0,well on the carso made the fall 
929,0,on the carso made the fall very 
930,0,
931,0,carso made the fall very different from 
932,0,
933,0,the fall very different from the last 
934,0,
935,0,
936,0,different from the last fall when we 
937,0,from the last fall when we had 
938,0,
939,0,
940,0,
941,0,
942,0,
943,0,
944,0,been in the country the war was 
945,0,
946,0,the country the war was changed too 
947,0,
948,0,the war was changed too the forest 
949,0,
950,0,
951,0,changed too the forest of oak trees 
952,0,
953,0,the forest of oak trees on the 
954,0,forest of oak trees on the mountain 
955,0,
956,0,
957,0,trees on the mountain beyond the town 
958,0,on the mountain beyond the town was 
959,0,
960,0,mountain beyond the town was gone the 
961,0,
962,0,the town was gone the forest had 
963,0,
964,0,was gone the forest had been green 
965,0,
966,0,
967,0,forest had been green in the summer 
968,0,
969,0,
970,0,green in the summer when we had 
971,0,
972,0,
973,0,
974,0,when we had come into the town 
975,0,
976,0,
977,0,come into the town but now there 
978,0,into the town but now there were 
979,0,
980,0,
981,0,
982,0,
983,0,there were the stumps and the broken 
984,0,
985,0,
986,0,stumps and the broken trunks and the 
987,0,and the broken trunks and the ground 
988,0,
989,0,
990,0,trunks and the ground torn up and 
991,0,and the ground torn up and one 
992,0,
993,0,
994,0,torn up and one day at the 
995,0,up and one day at the end 
996,0,
997,0,
998,0,day at the end of the fall 
999,0,
1000,0,
1001,0,end of the fall when i was 
1002,0,
1003,0,
1004,0,
1005,0,
1006,0,
1007,0,
1008,0,out where the oak forest had been 
1009,0,where the oak forest had been i 
1010,0,
1011,0,
1012,0,
1013,0,had been i saw a cloud coming 
1014,0,
1015,0,i saw a cloud coming over the 
1016,0,saw a cloud coming over the mountain 
1017,0,
1018,0,
1019,0,coming over the mountain it came very 
1020,0,
1021,0,the mountain it came very fast and 
1022,0,
1023,0,it came very fast and the sun 
1024,0,
1025,0,
1026,0,fast and the sun went a dull 
1027,0,and the sun went a dull yellow 
1028,0,
1029,0,sun went a dull yellow and then 
1030,0,went a dull yellow and then everything 
1031,0,
1032,0,
1033,0,yellow and then everything was gray and 
1034,0,
1035,0,then everything was gray and the sky 
1036,0,
1037,0,
1038,0,gray and the sky was covered and 
1039,0,
1040,0,the sky was covered and the cloud 
1041,0,
1042,0,
1043,0,covered and the cloud came on down 
1044,0,and the cloud came on down the 
1045,0,
1046,0,
1047,0,
1048,0,on down the mountain and suddenly we 
1049,0,
1050,0,the mountain and suddenly we were in 
1051,0,
1052,0,
1053,0,
1054,0,
1055,0,
1056,0,
1057,0,
1058,0,and it was snow the snow slanted 
1059,0,
1060,0,was snow the snow slanted across the 
1061,0,snow the snow slanted across the wind 
1062,0,the snow slanted across the wind the 
1063,0,
1064,0,slanted across the wind the bare ground 
1065,0,
1066,0,the wind the bare ground was covered 
1067,0,wind the bare ground was covered the 
1068,0,
1069,0,bare ground was covered the stumps of 
1070,0,
1071,0,was covered the stumps of trees projected 
1072,0,
1073,0,the stumps of trees projected there was 
1074,0,stumps of trees projected there was snow 
1075,0,
1076,0,
1077,0,projected there was snow on the guns 
1078,0,
1079,0,
1080,0,snow on the guns and there were 
1081,0,
1082,0,
1083,0,
1084,0,and there were paths in the snow 
1085,0,
1086,0,
1087,0,paths in the snow going back to 
1088,0,in the snow going back to the 
1089,0,the snow going back to the latrines 
1090,0,
1091,0,
1092,0,back to the latrines behind trenches later 
1093,0,to the latrines behind trenches later below 
1094,0,the latrines behind trenches later below in 
1095,0,latrines behind trenches later below in the 
1096,0,
1097,0,
1098,0,
1099,0,below in the town i watched the 
1100,0,
1101,0,the town i watched the snow falling 
1102,0,
1103,0,i watched the snow falling looking out 
1104,0,watched the snow falling looking out of 
1105,0,the snow falling looking out of the 
1106,0,
1107,0,
1108,0,
1109,0,out of the window of the bawdy 
1110,0,
1111,0,
1112,0,window of the bawdy house the house 
1113,0,of the bawdy house the house for 
1114,0,
1115,0,bawdy house the house for officers where 
1116,0,
1117,0,the house for officers where i sat 
1118,0,
1119,0,
1120,0,officers where i sat with a friend 
1121,0,
1122,0,
1123,0,sat with a friend and two glasses 
1124,0,
1125,0,a friend and two glasses drinking a 
1126,0,friend and two glasses drinking a bottle 
1127,0,and two glasses drinking a bottle of 
1128,0,
1129,0,glasses drinking a bottle of asti and 
1130,0,
1131,0,a bottle of asti and looking out 
1132,0,
1133,0,of asti and looking out at the 
1134,0,
1135,0,
1136,0,
1137,0,out at the snow falling slowly and 
1138,0,at the snow falling slowly and heavily 
1139,0,the snow falling slowly and heavily we 
1140,0,
1141,0,falling slowly and heavily we knew it 
1142,0,
1143,0,and heavily we knew it was all 
1144,0,
1145,0,
1146,0,
1147,0,
1148,0,
1149,0,
1150,0,over for that year up the river 
1151,0,
1152,0,
1153,0,year up the river the mountains had 
1154,0,
1155,0,the river the mountains had not been 
1156,0,
1157,0,
1158,0,
1159,0,had not been taken none of the 
1160,0,not been taken none of the mountains 
1161,0,
1162,0,
1163,0,none of the mountains beyond the river 
1164,0,of the mountains beyond the river had 
1165,0,
1166,0,mountains beyond the river had been taken 
1167,0,
1168,0,
1169,0,river had been taken that was all 
1170,0,
1171,0,
1172,0,
1173,0,that was all left for next year 
1174,0,
1175,0,all left for next year my friend 
1176,0,left for next year my friend saw 
1177,0,
1178,0,next year my friend saw the priest 
1179,0,year my friend saw the priest from 
1180,0,
1181,0,friend saw the priest from our mess 
1182,0,
1183,0,
1184,0,priest from our mess going by in 
1185,0,from our mess going by in the 
1186,0,
1187,0,
1188,0,
1189,0,by in the street walking carefully in 
1190,0,in the street walking carefully in the 
1191,0,the street walking carefully in the slush 
1192,0,
1193,0,
1194,0,carefully in the slush and pounded on 
1195,0,
1196,0,the slush and pounded on the window 
1197,0,
1198,0,
1199,0,pounded on the window to attract his 
1200,0,
1201,0,the window to attract his attention the 
1202,0,
1203,0,to attract his attention the priest looked 
1204,0,
1205,0,his attention the priest looked up he 
1206,0,attention the priest looked up he saw 
1207,0,
1208,0,
1209,0,looked up he saw us and smiled 
1210,0,up he saw us and smiled my 
1211,0,
1212,0,saw us and smiled my friend motioned 
1213,0,
1214,0,and smiled my friend motioned for him 
1215,0,smiled my friend motioned for him to 
1216,0,
1217,0,
1218,0,
1219,0,for him to come in the priest 
1220,0,
1221,0,
1222,0,come in the priest shook his head 
1223,0,in the priest shook his head and 
1224,0,
1225,0,priest shook his head and went on 
1226,0,
1227,0,his head and went on that night 
1228,0,
1229,0,
1230,0,went on that night in the mess 
1231,0,
1232,0,
1233,0,night in the mess after the spaghetti 
1234,0,
1235,0,
1236,0,mess after the spaghetti course which every 
1237,0,after the spaghetti course which every one 
1238,0,
1239,0,spaghetti course which every one ate very 
1240,0,course which every one ate very quickly 
1241,0,which every one ate very quickly and 
1242,0,
1243,0,one ate very quickly and seriously lifting 
1244,0,
1245,0,very quickly and seriously lifting the spaghetti 
1246,0,quickly and seriously lifting the spaghetti on 
1247,0,
1248,0,seriously lifting the spaghetti on the fork 
1249,0,
1250,0,
1251,0,spaghetti on the fork until the loose 
1252,0,
1253,0,
1254,0,fork until the loose strands hung clear 
1255,0,until the loose strands hung clear then 
1256,0,the loose strands hung clear then lowering 
1257,0,loose strands hung clear then lowering it 
1258,0,
1259,0,hung clear then lowering it into the 
1260,0,
1261,0,
1262,0,
1263,0,it into the mouth or else using 
1264,0,
1265,0,the mouth or else using a continuous 
1266,0,mouth or else using a continuous lift 
1267,0,
1268,0,else using a continuous lift and sucking 
1269,0,using a continuous lift and sucking into 
1270,0,
1271,0,continuous lift and sucking into the mouth 
1272,0,
1273,0,
1274,0,sucking into the mouth helping ourselves to 
1275,0,into the mouth helping ourselves to wine 
1276,0,
1277,0,
1278,0,helping ourselves to wine from the grass-covered 
1279,0,
1280,0,
1281,0,wine from the grass-covered gallon flask it 
1282,0,from the grass-covered gallon flask it swung 
1283,0,the grass-covered gallon flask it swung in 
1284,0,
1285,0,gallon flask it swung in a metal 
1286,0,
1287,0,
1288,0,swung in a metal cradle and you 
1289,0,in a metal cradle and you pulled 
1290,0,
1291,0,
1292,0,cradle and you pulled the neck of 
1293,0,
1294,0,you pulled the neck of the flask 
1295,0,
1296,0,
1297,0,neck of the flask down with the 
1298,0,
1299,0,
1300,0,
1301,0,down with the forefinger and the wine 
1302,0,
1303,0,
