,word,count,pages,contexts,chapters
79,going,159,"{3, 4, 6, 17, 18, 19, 20, 25, 27, 30, 32, 33, 34, 37, 39, 44, 45, 46, 47, 48, 54, 55, 74, 77, 82, 87, 102, 108, 111, 117, 119, 120, 121, 122, 123, 127, 129, 132, 135, 136, 142, 144, 146, 148, 149, 151, 158, 163, 172, 179, 180, 183, 185, 186, 187, 188, 189, 190, 191, 192, 194, 195, 196, 197, 203, 204, 205, 206, 211, 215, 216, 218, 221, 222, 225, 228, 230, 236, 238, 243, 246, 248, 253, 259, 260, 261, 262, 264, 266, 267, 268, 270, 271, 275, 276, 278, 280, 285, 286, 291, 296, 297, 309, 312, 315, 316, 317, 322, 323, 324}","['window and guns going past pulled by ', 'cars that passed going very fast usually ', 'how things were going and things went ', 'the whole thing going well on the ', 'in the snow going back to the ', 'from our mess going by in the ', 'the offensive was going to start again ', 'boy he was going to marry me ', 'much i was going to cut it ', 'beautiful are they going to have an ', 'when theres nothing going on when there ', 'me because were going to have a ', 'was better than going every evening to ', 'a good deal going on up in ', 'it was still going on inside somebody ', 'there were stragglers going by long after ', 'stood up im going on whats the ', 'the sun was going down and the ', 'though i were going to confession bless ', 'where i was going bassi wins i ', 'the wheels and going off through the ', 'road climbed steeply going up and back ', 'the sun was going down and looking ', 'river they were going to put over ', 'see what was going on and then ', 'and instead of going on i felt ', 'whitely and rockets going up and heard ', 'any one were going to die they ', 'hospital she is going to milan too ', 'could feel it going in and out ', 'very much im going to bring your ', 'darling when youre going under the ether ', 'letter done im going down its here ', 'carriage the horse going slowly and up ', 'there were people going by and candles ', 'the war were going on for a ', 'carso they were going forward but there ', 'simmons said im going to sing tosca ', 'i hear youre going to get the ', 'of citation you going to get i ', 'dont know im going to get it ', 'get it youre going to get it ', 'two years im going to be a ', 'been a lieutenant going on three years ', 'pretty fine youre going to get the ', 'heard you were going to get it ', 'im glad youre going to be promoted ', 'be promoted im going to be a ', 'luck when you going back to the ', 'afternoon he was going to be a ', 'were many carriages going into the race ', 'thought we were going to get three ', 'in flanders was going to the bad ', 'long i was going to skulk in ', 'to yes im going to have a ', 'have seen them going out and come ', 'has this been going on i bought ', 'sensations i was going to suggest that ', 'watched the people going by in the ', 'very cheap im going to the front ', 'my other one going to the hospital ', 'except that im going away at midnight ', 'full of people going home then a ', 'there were carriages going by on the ', 'the train but going back to sleep ', 'rinaldi i was going to try not ', 'the black smoke going close up inside ', 'where he was going to go i ', 'what were you going to do if ', 'the sun was going down the bombardment ', 'and the shells going away had a ', 'in the night going slowly along the ', 'where were they going to conegliano she ', 'what are we going to do tenente ', 'to sleep im going to sleep on ', 'bonello said im going to sleep where ', 'there no im going up to my ', 'who are you going to ride with ', 'i heard them going upstairs this was ', 'guns that were going through the main ', 'and some carts going through on other ', 'and walked ahead going between the trucks ', 'then stopping then going on again it ', 'horses or men going to sleep still ', 'knew we were going to have to ', 'how things were going but i was ', 'him we were going to try it ', 'radiator so much going in low gear ', 'think this road going down on the ', 'they were not going into any deserted ', 'think we are going far i opened ', 'started we were going to try to ', 'said we were going up the road ', 'along together all going fast against time ', 'brown water was going over it we ', 'said im not going to try them ', 'asked we were going along the side ', 'soldier said were going home the war ', 'is over everybodys going home were all ', 'home were all going home come on ', 'shouted out were going home it would ', 'to each other going forward to flash ', 'if you are going to shoot me ', 'seemed to be going by very fast ', 'keep the circulation going i had woven ', 'a machine-gun detachment going up toward the ', 'with the car going slowly and clickingly ', 'sheets and never going away again except ', 'the procedure in going to switzerland for ', 'well too im going to try it ', 'war i was going to forget the ', 'thought she was going to cry again ', 'where are we going to go please ', 'like criminals were going to have a ', 'near san dona going up to the ', 'before the war going up to cortina ', 'hotel she was going to lie down ', 'yes they are going to arrest you ', 'why are they going to arrest me ', 'says they are going to arrest me ', 'though you were going for a walk ', 'us youre not going out sir he ', 'i said were going to see the ', 'but we were going with the wind ', 'and we were going on up the ', 'catherine werent we going to see pallanza ', 'moving fast were going beautifully catherine said ', 'be another point going out a long ', 'how are you going all right tell ', 'forward no im going beautifully go on ', 'of the white-caps going away from us ', 'with the war going on you can ', 'if you are going for winter sports ', 'no mistake in going to montreux the ', 'thats where were going im so groggy ', 'the carriage was going along the street ', 'where are we going driver the driver ', 'on the pavement going into the hotel ', 'reading everything was going very badly everywhere ', 'thing im not going to be married ', 'thats what im going to do come ', 'in the air going up the road ', 'darling im not going to cut my ', 'thin again im going to cut it ', 'how is everything going doctor things are ', 'doctor things are going very well the ', 'strange im not going to die now ', 'where i was going to die arent ', 'done darling im going all to pieces ', 'i feel im going to die nonsense ', 'i know im going to die you ', 'one said theyre going to do a ', 'where they were going but most of ', 'several card games going on the waiters ', 'knew she was going to die and ', 'i said youre going to be all ', 'all right im going to die she ', 'you are not going to die you ', 'you i am going to stay here ']","{1, 2, 4, 5, 6, 7, 8, 9, 12, 13, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41}"
80,past,22,"{128, 160, 312, 3, 262, 77, 78, 112, 146, 147, 311, 215, 216, 157, 126, 191}","['and guns going past pulled by motor-tractors ', 'and slept until past vicenza where i ', 'up and down past a freight-car outside ', 'through the galleria past the other restaurants ', 'and read the past performances of the ', 'whip they came past us with the ', 'as they went past and saw the ', 'along the sidewalk past the wine shops ', 'said we were past it now we ', 'we went on past other windows and ', 'the train crowding past people and along ', 'into the town past the factories and ', 'we were out past the tanneries onto ', 'us we got past the town to ', 'wanted to get past them tenente whos ', 'we worked up past them i wont ', 'train we were past i saw him ', 'we came along past the chained boats ', 'know how far past luino past luino ', 'far past luino past luino cannero cannobio ', 'waiter it is past time for lunch ', 'now darling im past where i was ']","{1, 35, 40, 41, 12, 18, 19, 20, 23, 24, 27, 30}"
81,pulled,44,"{3, 7, 135, 263, 265, 266, 267, 268, 271, 272, 147, 149, 151, 280, 163, 42, 43, 310, 55, 193, 201, 202, 210, 90, 219, 224, 226, 120, 250, 251}","['guns going past pulled by motor-tractors there ', 'cradle and you pulled the neck of ', 'the other cars pulled up i got ', 'his tunic and pulled it out from ', 'mama mia i pulled and twisted and ', 'kissed me i pulled her down and ', 'stripes see he pulled his sleeve around ', 'the vice-consul ettore pulled up his sleeve ', 'and a dressing-gown pulled down the curtains ', 'snapped it and pulled back the action ', 'shoulder she had pulled my cape around ', 'looked out then pulled a cord that ', 'the window and pulled the curtain aside ', 'the breeches and pulled off the knee-brace ', 'very scared she pulled the shawl tight ', 'mans head and pulled the trigger the ', 'sergeants legs and pulled him to the ', 'cars together and pulled the wheels only ', 'the wheels only pulled sideways against the ', 'face down we pulled him down on ', 'fat the carabiniere pulled him in behind ', 'from behind and pulled my arm up ', 'was gone i pulled into the willow ', 'rear hand-rods and pulled up i crawled ', 'and the barman pulled in the line ', 'jerked back i pulled and felt the ', 'all right i pulled in the line ', 'the stern and pulled her cape around ', 'slipping out i pulled raised leaned forward ', 'water dipped and pulled rowing as easily ', 'rowed easily i pulled it along in ', 'falling back i pulled hard on the ', 'too clearly and pulled out where they ', 'good time i pulled in the oars ', 'two edges it pulled hard the boat ', 'umbrella strained and pulled and i felt ', 'brandy bottle i pulled the cork with ', 'the lake i pulled close up to ', 'their alpini hats pulled down their cape ', 'the rain i pulled out into the ', 'all right i pulled hard on the ', 'boat alongside i pulled in the oars ', 'fine the carriage pulled up before the ', 'little then she pulled the mask away ']","{1, 2, 34, 35, 36, 37, 8, 9, 40, 14, 19, 21, 23, 25, 27, 28, 30, 31}"
82,motor-tractors,1,set(),['past pulled by motor-tractors there was much '],set()
83,much,129,"{256, 130, 4, 261, 135, 263, 265, 266, 13, 269, 270, 147, 276, 277, 150, 28, 29, 31, 291, 292, 37, 38, 40, 297, 300, 173, 302, 175, 303, 178, 51, 181, 183, 57, 58, 59, 60, 186, 189, 190, 314, 194, 195, 197, 198, 73, 203, 84, 217, 94, 222, 228, 101, 229, 104, 234, 107, 238, 112, 240, 114, 115, 116, 117, 244, 254, 121, 123, 252, 125, 126}","['motor-tractors there was much traffic at night ', 'i had drunk much wine and afterward ', 'to care very much and to sleep ', 'like it very much i was going ', 'them and how much he got i ', 'go out its much cooler i walked ', 'pronounce it very much alike but youre ', 'want to very much yes we kissed ', 'would have been much simpler still i ', 'they talked too much at the mess ', 'drunk twice as much as i i ', 'thank you very much i said good-night ', 'we talk too much even for the ', 'thank you very much i said youd ', 'there was so much dirt blown into ', 'had not been much hemorrhage they would ', 'said there are much worse wounded than ', 'will all go much faster he stooped ', 'not drink too much brandy then if ', 'thank you very much the pain that ', 'do you suffer much have a drink ', 'for talking so much baby i am ', 'love you too much but dont be ', 'love it very much you ought to ', 'i dont love much yes he said ', 'and talk too much he was worried ', 'liked him very much and i hoped ', 'pain no not much now she put ', 'thank her very much im going to ', 'yes thanks very much i said can ', 'a while and much lifting i was ', 'thank you very much i said i ', 'appreciate it very much you understand doctor ', 'thank you very much miss thats all ', 'like him as much as you did ', 'for valentini not much but quite unpleasant ', 'she say how much it costs i ', 'loved her very much and she loved ', 'does it itch much no its fine ', 'it was not much of a wine ', 'did not worry much and i suppose ', 'love you so much and you did ', 'do not remember much about the days ', 'were not together much in the afternoons ', 'admired family very much and came from ', 'oh boy how much does a captain ', 'usually darling theyre much quieter i dont ', 'but hes so much the type of ', 'wont be together much longer no but ', 'did not care much about these races ', 'he wont pay much meyers said hes ', 'he wont pay much at the last ', 'i feel so much cleaner catherine said ', 'to me how much thats all right ', 'could not be much worse they had ', 'i said how much is this fifty ', 'elevator there was much red plush and ', 'thank you very much lets see them ', 'from thinking so much he had looked ', 'of cognac too much i said and ', 'rinaldi drink so much brandy ill try ', 'can go on much longer what will ', 'it is too much to expect but ', 'beyond there was much artillery around the ', 'dont get so much something is wrong ', 'front line as much as they can ', 'back there was much shelling and many ', 'they charge too much at that house ', 'i dont need much sleep i slept ', 'there its not much of a place ', 'did not help much either those were ', 'they all looked much alike now i ', 'his radiator so much going in low ', 'kitchen theres not much to eat piani ', 'were laughing how much will you give ', 'alone he was much gentler when he ', 'under with so much clothing and my ', 'fast there was much wood in the ', 'and not too much remember i could ', 'did not care much about the outward ', 'you wish how much are such papers ', 'dont bet too much but i can ', 'did not think much of me they ', 'had had too much red wine bread ', 'people bring so much courage to this ', 'danger then not much i had an ', 'her think how much we have and ', 'you dont know much darling for such ', 'loving her so much i dont want ', 'it is so much easier to talk ', 'been playing very much none at all ', 'you mind very much it is my ', 'older and not much wiser you are ', 'did not have much to put in ', 'thank you very much he said he ', 'i said how much money have you ', 'you not so much you send me ', 'all right how much what you want ', 'tell me how much if you get ', 'thank you very much are you ready ', 'saw some lights much further up the ', 'not worrying so much about that i ', 'but it was much lighter than it ', 'catherine said theres much more if you ', 'the lake was much narrower now the ', 'it made everything much better and i ', 'life might be much simpler i took ', 'straightened up how much money have you ', 'favorably impressed how much has your cousin ', 'thank you very much i said to ', 'it here very much at locarno locarno ', 'like it very much the gentleman has ', 'you both very much i said we ', 'your advice very much good-by catherine said ', 'you both very much they bowed us ', 'i talk too much and i think ', 'think about anything much who do you ', 'think about them much i dont want ', 'want you so much i want to ', 'we quarrelled so much it wore itself ', 'like them very much lets not talk ', 'can be as much alone in a ', 'it there wasnt much left come on ', 'could tell how much whiskey there was ', 'im not doing much you are mr ', 'over it wasnt much catherine said she ', 'is already losing much of her strength ', 'not talk so much the doctor said ', 'are talking too much the doctor said ']","{1, 3, 6, 7, 9, 11, 13, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41}"
84,traffic,6,"{24, 218, 194, 4}","['there was much traffic at night and ', 'slower in the traffic there were big ', 'and all returning traffic up the old ', 'slow in the traffic sometimes it stopped ', 'to sleep still traffic could tie up ', 'where all the traffic was crossing they ']","{1, 28, 5, 30}"
85,mules,5,"{4, 45, 44}","['night and many mules on the roads ', 'column of loaded mules the drivers walking ', 'along beside the mules wearing red fezzes ', 'motor trucks and mules with mountain guns ', 'horses pulling wagons mules motor trucks all ']","{8, 1}"
86,roads,19,"{160, 225, 195, 4, 295, 200, 299, 13, 304, 210, 179, 51, 213, 182, 185}","['mules on the roads with boxes of ', 'place where the roads were frozen and ', 'sometimes on the roads at night close ', 'bare and the roads were muddy i ', 'and shelled the roads badly at night ', 'the numbers of roads the names of ', 'screening over the roads wet and dripping ', 'along the crowded roads we passed troops ', 'column from the roads of the country ', 'network of secondary roads and had taken ', 'had taken many roads that were blind ', 'to the secondary roads beyond udine i ', 'fewness of the roads did that nobody ', 'and very few roads the roads all ', 'few roads the roads all go along ', 'lines and many roads and finally i ', 'walk on the roads again the snow ', 'ice of the roads bare to stop ', 'along the country roads with her when ']","{1, 3, 38, 39, 9, 24, 26, 27, 28, 30}"
87,boxes,4,"{161, 4}","['the roads with boxes of ammunition on ', 'belts gray leather boxes heavy with the ', 'you get the boxes with the medals ', 'the papers the boxes will come later ']","{24, 1}"
88,ammunition,1,{4},['with boxes of ammunition on each side '],{1}
89,side,99,"{128, 4, 5, 133, 261, 264, 10, 267, 15, 146, 147, 149, 22, 23, 24, 150, 282, 155, 283, 284, 160, 34, 35, 295, 44, 45, 46, 301, 49, 50, 309, 60, 191, 320, 194, 195, 323, 197, 200, 201, 74, 77, 208, 82, 210, 211, 86, 215, 217, 90, 218, 219, 220, 221, 96, 224, 225, 226, 236, 111, 121}","['ammunition on each side of their pack ', 'mountain on this side of the river ', 'purple on the side of the house ', 'and artillery up side streets and two ', 'waiting by the side door and inside ', 'were lined up side by side under ', 'up side by side under the long ', 'went to the side door of the ', 'on the far side the year before ', 'on the far side to hold about ', 'on the austrian side of the river ', 'on the austrian side of the river ', 'on the mountain side the cars would ', 'way out which side is it on ', 'stopped at the side of the road ', 'on the near side of the river ', 'keeping to the side i could see ', 'to the other side and across under ', 'all along the side of the sunken ', 'on the other side dark against the ', 'it if one side stopped fighting it ', 'stop fighting one side must stop fighting ', 'off to one side the doctors were ', 'stretcher by the side with a man ', 'on the right-hand side and a door ', 'on your left side you could see ', 'long time this side of mestre and ', 'man on that side had been very ', 'on the other side of the room ', 'to the other side of the bed ', 'little to this side thats fine ill ', 'sat on the side of the bed ', 'on the safe side you should wait ', 'touch just the side of my hand ', 'blew the whole side of my foot ', 'on the far side with the glasses ', 'walked along the side street practising not ', 'head on one side the girls were ', 'boots on one side and the ski ', 'turned down a side street ive never ', 'on the right-hand side there were many ', 'up the other side i feel better ', 'turned down a side street where there ', 'on the other side was a brick ', 'the station up side streets in the ', 'him into the side room and paid ', 'stood in the side room and looked ', 'stone along the side of the road ', 'on the other side beyond the stalled ', 'under her which side did she sleep ', 'on the other side i said ill ', 'ditches at the side were high with ', 'on the other side will lead to ', 'hedge on either side behind the cars ', 'earth at the side and the wheels ', 'hedge on either side i order you ', 'him to the side of the road ', 'on the other side we could not ', 'foreheads and the side of their faces ', 'keep on this side out of sight ', 'trees on each side i thought we ', 'on the other side and turned him ', 'mud on the side of the embankment ', 'down the north side of the embankment ', 'were by his side his puttee-wrapped legs ', 'on the north side there was a ', 'going along the side of a road ', 'way along the side of the road ', 'looked over the side and watched the ', 'me at the side of the road ', 'carabiniere on each side of him a ', 'little to one side of us if ', 'carabinieri on either side i did not ', 'were against the side of the timber ', 'limped along the side of the road ', 'on the near side of the bridge ', 'on the other side of the tracks ', 'on the far side and a dresser ', 'came on one side it was dark ', 'on the other side but it is ', 'up on the side of the bed ', 'on the other side of isola madre ', 'on the other side we saw a ', 'close to the side of the boat ', 'it over the side then she handed ', 'hole in my side i said dont ', 'trees on the side of the mountain ', 'on the french side there was snow ', 'vineyards on the side of the lower ', 'on the other side of the lake ', 'ledge on the side of the mountain-side ', 'on the other side of the lake ', 'on the other side of the mountain ', 'lake on one side and on the ', 'was on one side and the doctor ', 'on the other side of the table ', 'clips at the side and looked out ', 'over to the side of the bed ', 'on the opposite side catherine looked at ']","{1, 2, 3, 4, 5, 7, 8, 9, 12, 13, 14, 15, 17, 19, 20, 21, 23, 24, 27, 28, 29, 30, 31, 32, 35, 36, 37, 38, 40, 41}"
90,pack,5,"{161, 187, 158}","['side of their pack saddles and gray ', 'could feel the pack and they could ', 'i put my pack and the two ', 'cap on the pack i brought the ', 'you go and pack your things my ']","{24, 27}"
91,saddles,1,{4},['of their pack saddles and gray motor '],{1}
92,gray,24,"{4, 6, 7, 232, 169, 15, 16, 80, 18, 147, 208, 274, 182, 24, 282, 219, 284, 319}","['pack saddles and gray motor trucks that ', 'of the belts gray leather boxes heavy ', 'there were small gray motor cars that ', 'necked body and gray beard like a ', 'then everything was gray and the sky ', 'pocket of his gray tunic the captain ', 'blunt-nosed ambulances painted gray and built like ', 'was a pale gray and sweet with ', 'tawny skin and gray eyes i thought ', 'flash and then gray smoke that blew ', 'them he had gray mustaches wore a ', 'it was a gray leather holster and ', 'wiping his upturned gray mustache carefully he ', 'broken houses was gray and wet late ', 'helmets and their gray uniforms were wet ', 'his hair was gray and he was ', 'the coffee was gray with milk and ', 'said a fat gray cat with a ', 'lake was a gray steel-blue outside in ', 'below flat and gray as steel the ', 'her face was gray the part of ', 'she was very gray and weak and ', 'softly she looked gray youre all right ', 'me her face gray ill be right ']","{0, 1, 2, 32, 4, 5, 37, 41, 23, 25, 27, 29, 30}"
93,motor,15,"{194, 185, 4, 6, 45, 15, 207, 271, 153, 191}","['saddles and gray motor trucks that carried ', 'were small gray motor cars that passed ', 'passing in his motor car sometimes now ', 'i heard a motor truck starting on ', 'this road and motor trucks and mules ', 'the street a motor car honked but ', 'pulling wagons mules motor trucks all moving ', 'the troops the motor trucks the horse-drawn ', 'of horse and motor vehicles they did ', 'a yellow mud-colored motor car crossed it ', 'it was a motor boat chugging out ', 'we saw the motor boat in the ', 'cape collars the motor boat chugged on ', 'we heard a motor boat once more ', 'us that last motor boat we heard ']","{1, 2, 4, 37, 8, 23, 27, 28, 29}"
94,trucks,13,"{196, 4, 45, 206, 191}","['and gray motor trucks that carried men ', 'men and other trucks with loads covered ', 'mountain and the trucks splashed mud on ', 'take the empty trucks carts and loaded ', 'road and motor trucks and mules with ', 'road and many trucks beyond the road ', 'wagons mules motor trucks all moving away ', 'there were many trucks too and some ', 'troops the motor trucks the horse-drawn carts ', 'going between the trucks and carts and ', 'to leave their trucks or a few ', 'line of abandoned trucks and carts on ', 'troops only abandoned trucks and stores along ']","{1, 8, 27, 28, 29}"
95,carried,22,"{259, 4, 142, 144, 274, 150, 29, 33, 163, 295, 306, 52, 183, 56, 185, 62, 63, 82, 94, 112}","['motor trucks that carried men and other ', 'the posts and carried an english gas ', 'plain sight rinaldi carried a holster stuffed ', 'forgot it and carried it flopping against ', 'most of them carried them slung from ', 'men who had carried it looked in ', 'the dark they carried wounded in and ', 'of bed and carried you into the ', 'gordini says you carried several people on ', 'he said they carried me down a ', 'third doctor who carried the x ray ', 'the crutches and carried the basins and ', 'the porter had carried out the large ', 'hall the porter carried the sack he ', 'boy in buttons carried the package the ', 'went out and carried my bags up ', 'post some were carried on stretchers some ', 'and coats and carried small suitcases two ', 'his overcoat and carried his wet hat ', 'the bags i carried the bags and ', 'a cape and carried a stick with ', 'in and i carried the bag there ']","{1, 35, 37, 6, 7, 38, 9, 10, 40, 13, 15, 18, 22, 23, 25, 27}"
96,men,55,"{132, 8, 10, 143, 284, 157, 158, 160, 33, 290, 36, 175, 48, 52, 180, 183, 311, 57, 62, 194, 322, 196, 70, 73, 74, 75, 207, 220, 221, 100, 101, 229, 235, 250, 126, 127}","['trucks that carried men and other trucks ', 'so that the men passing on the ', 'lieutenant all thinking men are atheists the ', 'you met british men and sometimes women ', 'them pass the men were hot and ', 'ears of the men who wore them ', 'regiment had passed men who could not ', 'the road two men were lifting the ', 'be do the men know that who ', 'took the tenth men one of those ', 'of the two men who had carried ', 'they had two men on each ambulance ', 'in turn three men nurses and a ', 'be made with men in them my ', 'education or money men like passini would ', 'are to the men what is the ', 'when the young men serenaded only the ', 'of doctors and men nurses showed under ', 'and afterward the men nurses would go ', 'regiment of the men who were buried ', 'we heard the men of the anti-aircraft ', 'coffee of the men at the gun ', 'awful amount of men i did not ', 'was very crooked men who had been ', 'track and the men at the gate ', 'and fifty thousand men on the bainsizza ', 'if they killed men as they did ', 'have known many men to escape the ', 'there were many men standing in the ', 'corridor and the men in the compartment ', 'the place other men looked in through ', 'verona when more men got on the ', 'step on me men were sleeping on ', 'bare trees and men were working on ', 'the changes in men i do not ', 'turned the best men would be left ', 'counter-attack of scared men from the second ', 'the backs of men that came across ', 'from horses or men going to sleep ', 'for a few men to leave their ', 'and the two men on the rear ', 'a group of men were standing guarded ', 'were all young men and they were ', 'stern justice of men dealing in death ', 'pushed between two men and ran for ', 'cars and your men as a floorwalker ', 'one of the men i knew who ', 'drawn up and men were mending nets ', 'wisdom of old men they do not ', 'the road and men come up the ', 'and be with men and ski no ', 'were a few men in the café ', 'playing cards two men at the table ', 'the tables two men came in and ', 'perfectly calm the men stood around but ']","{2, 3, 7, 9, 10, 11, 12, 15, 16, 19, 20, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 37, 38, 40, 41}"
97,loads,1,{4},['other trucks with loads covered with canvas '],{1}
98,covered,12,"{226, 4, 6, 53, 149, 309, 62, 191}","['trucks with loads covered with canvas that ', 'of the guns covered with green branches ', 'the sky was covered and the cloud ', 'bare ground was covered the stumps of ', 'get and keep covered they would of ', 'its smooth surface covered with brick dust ', 'away and finally covered my face with ', 'her so it covered both of us ', 'high the load covered with wet canvas ', 'call gondolas coming covered with canvas i ', 'rhone valley was covered we took long ', 'on a table covered by a sheet ']","{1, 2, 40, 9, 10, 23, 27, 31}"
99,canvas,18,"{226, 227, 228, 4, 229, 61}","['loads covered with canvas that moved slower ', 'came from the canvas overhead i tried ', 'and felt the canvas above move as ', 'covered with wet canvas then the truck ', 'coming covered with canvas i stood until ', 'see how the canvas was fastened it ', 'bulges under the canvas that tightened in ', 'ducked under the canvas my forehead hit ', 'fastened down the canvas i was in ', 'in under the canvas with guns they ', 'rain on the canvas and the clicking ', 'they had their canvas jackets on i ', 'dripped from the canvas and wiped it ', 'me under the canvas i was wet ', 'light through the canvas and my lying ', 'nor guns with canvas jackets and the ', 'metal or a canvas that rain leaked ', 'fine under a canvas and pleasant with ']","{1, 9, 31}"
100,moved,19,"{64, 223, 195, 4, 68, 226, 229, 301, 270, 208, 210, 310, 55, 185, 158, 191}","['with canvas that moved slower in the ', 'and my legs moved a little i ', 'inside my head moved like the weights ', 'i am very moved to see you ', 'the tree-top that moved a little in ', 'said the machine-gunner moved out of the ', 'of the bainsizza moved down off the ', 'said as we moved out through the ', 'slow-moving column we moved slowly but steadily ', 'wagons as they moved along the road ', 'bent forward and moved smoothly almost supernaturally ', 'us the railway moved south away from ', 'i said piani moved him around he ', 'and the current moved toward the shore ', 'that the engine moved it very slowly ', 'when one army moved back and another ', 'the boat and moved forward no im ', 'catherine unpacked and moved around the room ', 'face the doctor moved the dial and ']","{1, 37, 38, 40, 9, 10, 11, 24, 27, 28, 29, 30, 31}"
101,slower,2,"{4, 36}","['canvas that moved slower in the traffic ', 'regiment hotter and slower than ever then ']","{1, 7}"
102,big,81,"{4, 133, 261, 262, 10, 267, 271, 145, 18, 146, 150, 282, 283, 284, 285, 160, 33, 34, 289, 291, 37, 295, 297, 300, 301, 302, 47, 48, 49, 51, 52, 181, 54, 307, 56, 309, 310, 312, 315, 320, 65, 194, 197, 198, 204, 77, 82, 83, 212, 213, 87, 215, 226, 102, 233, 236, 239, 113, 119, 250, 253, 127}","['traffic there were big guns too that ', 'door of the big room and saw ', 'hospital was a big villa built by ', 'helmets were too big and came down ', 'its twice as big as it was ', 'we had a big evening they were ', 'evening they were big and shy and ', 'there was a big dugout where the ', 'said they are big through the chest ', 'he was a big smart tall boy ', 'mountains there were big search-lights on that ', 'come up a big shell came in ', 'said they have big skoda guns ive ', 'that was a big trench mortar yes ', 'it was a big trench mortar shell ', 'you he makes big preparations i like ', 'live in a big city and have ', 'bed and a big wardrobe with a ', 'could see the big mirror on the ', 'i saw the big armoire the bare ', 'hospital is a big responsibility for her ', 'its quite a big hospital i hope ', 'besides all the big times we had ', 'of something very big happening he was ', 'iron fences and big overgrown gardens and ', 'one of the big leather sofas his ', 'once were so big i should think ', 'that was very big she said i ', 'there was a big rucksack and two ', 'it was very big and the stone ', 'corner on the big street catherine watched ', 'camion in the big square in front ', 'i am a big eater and i ', 'better we are big eaters i am ', 'rain but the big rain down that ', 'and the two big ambulances in front ', 'bonello sliced a big cheese on the ', 'out of a big wicker-covered wine jug ', 'wine thats too big i said he ', 'see our two big moving-vans of cars ', 'there was a big empty twowheeled cart ', 'fire on the big open hearth the ', 'it was a big barn and we ', 'he was a big man and he ', 'helmet was too big for him i ', 'there is a big retreat i read ', 'it was a big room with a ', 'entrance of the big hotel and the ', 'it was very big and light and ', 'there was a big double bed a ', 'bare trees the big hotels and the ', 'did he feel big pretty big once ', 'feel big pretty big once when i ', 'hotel was very big and grand and ', 'be a little big with the child ', 'back with a big umbrella it is ', 'is a little big sir he said ', 'i took the big umbrella the porter ', 'lets have a big breakfast they have ', 'room she brought big chunks of wood ', 'walls and a big stove in the ', 'dark in the big bedroom and when ', 'there were many big hotels that were ', 'it was a big snow storm she ', 'it is a big storm the barmaid ', 'head its a big bump she ran ', 'afraid because im big now that maybe ', 'did not look big with the cape ', 'i look too big and matronly now ', 'that was too big a town we ', 'nurse in the big room that is ', 'bed and the big comfortable bedroom all ', 'im like a big flour barrel no ', 'that was a big one catherine said ', 'wasnt a very big one i had ', 'had a very big one a while ', 'that was a big one she said ', 'was a very big one dont you ', 'was a very big one catherine said ', 'on the table big under the sheet ', 'such a fine big boy i thought ']","{1, 3, 4, 7, 9, 10, 12, 13, 16, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41}"
103,passed,32,"{4, 265, 146, 150, 24, 284, 160, 36, 42, 44, 47, 51, 311, 185, 195, 210, 217, 222, 223, 225, 226}","['guns too that passed in the day ', 'motor cars that passed going very fast ', 'sheltered after they passed that last bad-looking ', 'the regiment had passed men who could ', 'went on and passed the regiment about ', 'pittsburgh first we passed the regiment hotter ', 'and as we passed the entry to ', 'caught them and passed them and turned ', 'their dust we passed a long column ', 'road and we passed stone farmhouses with ', 'his lighter and passed it around the ', 'camions that you passed sometimes on the ', 'us and we passed them they were ', 'carriage several streetcars passed full of people ', 'soufflé the elevator passed three floors with ', 'a camion we passed other camions on ', 'narrow street we passed a british red ', 'crowded roads we passed troops marching under ', 'we had always passed them bowling along ', 'not see what passed along the road ', 'a german battalion passed then when they ', 'piani said we passed two british ambulances ', 'very cold we passed the brush of ', 'and many things passed that had been ', 'road and they passed me and paid ', 'when the train passed i watched the ', 'several closed freight-cars passed then i saw ', 'it had almost passed then jumped and ', 'guard as we passed him he looked ', 'lake and we passed the point that ', 'the road we passed an old square-built ', 'while the time passed i watched him ']","{1, 36, 5, 37, 7, 8, 9, 40, 23, 24, 27, 28, 30, 31}"
